seller_name,link,time_operating,units_of_time_operating,amt_sold,leader_status,top_descriptor1,top_descriptor2,num_reviews,num_neg_reviews,num_neutral_reviews,num_pos_reviews,location,timeframe_of_amt_sold,units_timeframe_of_amt_sold
Anker Tienda oficial,http://perfil.mercadolibre.com.pe/ANKER+PERU?brandId=144,8,meses,276,MercadoLíder¡Está entre los mejores del sitio!,NA,NA,163,2,4,157,"Lima, Lima.",NA,NA
MIALIENSTORE,http://perfil.mercadolibre.com.pe/MIALIENSTORE,3,años,1102,MercadoLíder Gold¡Está entre los mejores del sitio!,NA,NA,711,1,26,684,"Lima, Lima.",NA,NA
BONOTECH.PE,http://perfil.mercadolibre.com.pe/BONOTECH.PE,6,años,4176,NA,NA,NA,2477,12,271,2194,"Lima, Lima.",NA,NA
ELECTROFERTAS SELLADAS,http://perfil.mercadolibre.com.pe/ELECTROFERTAS+SELLADAS,1,año,372,MercadoLíder Gold¡Está entre los mejores del sitio!,NA,NA,343,0,0,343,"Lima, Lima.",NA,NA
REYLU PRODUCTS,http://perfil.mercadolibre.com.pe/REYLU+PRODUCTS,6,años,147,MercadoLíder¡Está entre los mejores del sitio!,NA,NA,112,8,10,94,"Lima, Lima.",NA,NA
BESTOFFERSPERU,http://perfil.mercadolibre.com.pe/BESTOFFERSPERU,5,años,1565,MercadoLíder Gold¡Está entre los mejores del sitio!,NA,NA,1073,2,61,1010,"Lima, Lima.",NA,NA
SPORTECH BALHER,http://perfil.mercadolibre.com.pe/SPORTECH+BALHER,5,años,480,MercadoLíder¡Está entre los mejores del sitio!,NA,NA,308,0,15,293,"Lima, Lima.",NA,NA
LIZANDRIAN15,http://perfil.mercadolibre.com.pe/LIZANDRIAN15,2,años,343,NA,NA,NA,188,4,11,173,"Lima, Lima.",NA,NA
Sony Tienda oficial,http://perfil.mercadolibre.com.pe/SONYPERUSRL?brandId=25,2,años,1609,MercadoLíder Gold¡Está entre los mejores del sitio!,NA,NA,1022,23,68,931,"Lima, Lima.",NA,NA
ANDREUS STORE,http://perfil.mercadolibre.com.pe/ANDREUS+STORE,1,año,29,NA,NA,NA,33,0,0,33,"Lima, Lima.",NA,NA
FULL NOVEDADES-,http://perfil.mercadolibre.com.pe/FULL+NOVEDADES-,1,año,1044,MercadoLíder Gold¡Está entre los mejores del sitio!,NA,NA,733,0,20,713,"Lima, Lima.",NA,NA
IMANIA.PERU,http://perfil.mercadolibre.com.pe/IMANIA.PERU,2,años,2095,MercadoLíder Gold¡Está entre los mejores del sitio!,NA,NA,1117,0,10,1107,"Lima, Lima.",NA,NA
OSCARENRIQUECASTILLOFALCON,http://perfil.mercadolibre.com.pe/OSCARENRIQUECASTILLOFALCON,1,año,209,MercadoLíder¡Está entre los mejores del sitio!,NA,NA,159,2,7,150,"Lima, Lima.",NA,NA
APPLEMALLCENTER,http://perfil.mercadolibre.com.pe/APPLEMALLCENTER,3,años,1028,MercadoLíder Gold¡Está entre los mejores del sitio!,NA,NA,757,0,5,752,"Lima, Lima.",NA,NA
GRUPONATIC.PE,http://perfil.mercadolibre.com.pe/GRUPONATIC.PE,4,años,23877,MercadoLíder Gold¡Está entre los mejores del sitio!,NA,NA,8531,187,704,7640,"Lima, Lima.",NA,NA
INNOVA LEDS,http://perfil.mercadolibre.com.pe/INNOVA+LEDS,3,años,1345,MercadoLíder Gold¡Está entre los mejores del sitio!,NA,NA,787,0,0,787,"Lima, Lima.",NA,NA
OFERTAS DELIVERY,http://perfil.mercadolibre.com.pe/OFERTAS+DELIVERY,4,años,3706,MercadoLíder Gold¡Está entre los mejores del sitio!,NA,NA,1753,11,124,1618,"Lima, Lima.",NA,NA
SOUNDA E.I.R.L,http://perfil.mercadolibre.com.pe/SOUNDA+E.I.R.L,9,años,699,MercadoLíder¡Está entre los mejores del sitio!,NA,NA,383,0,14,369,"Lima, Lima.",NA,NA
CIBERVENTAS4000,http://perfil.mercadolibre.com.pe/CIBERVENTAS4000,9,años,624,MercadoLíder¡Está entre los mejores del sitio!,NA,NA,339,3,20,316,"Lima, Lima.",NA,NA
SANTOFA E.I.R.L,http://perfil.mercadolibre.com.pe/SANTOFA+E.I.R.L,2,años,2478,MercadoLíder Gold¡Está entre los mejores del sitio!,NA,NA,1475,2,84,1389,"Lima, Lima.",NA,NA
PERU_DE_SHOPPING,http://perfil.mercadolibre.com.pe/PERU_DE_SHOPPING,5,años,2404,MercadoLíder Gold¡Está entre los mejores del sitio!,NA,NA,1299,23,91,1185,"Lima, Lima.",NA,NA
TECHNOW 1,http://perfil.mercadolibre.com.pe/TECHNOW+1,1,año,4396,MercadoLíder Gold¡Está entre los mejores del sitio!,NA,NA,2948,4,104,2840,"Lima, Lima.",NA,NA
MASPLAY PERU,http://perfil.mercadolibre.com.pe/MASPLAY+PERU,7,años,1277,MercadoLíder Gold¡Está entre los mejores del sitio!,NA,NA,916,8,88,820,"Lima, Lima.",NA,NA
INTECGLOBALPERU,http://perfil.mercadolibre.com.pe/INTECGLOBALPERU,6,años,5202,MercadoLíder Gold¡Está entre los mejores del sitio!,NA,NA,3695,7,31,3657,"Lima, Lima.",NA,NA
PLAZATECH,http://perfil.mercadolibre.com.pe/PLAZATECH,9,años,591,NA,NA,NA,300,2,17,281,"Lima, Lima.",NA,NA
PRECIO.PE,http://perfil.mercadolibre.com.pe/PRECIO.PE,2,años,4196,NA,NA,NA,1608,60,193,1355,"Lima, Lima.",NA,NA
DLECTRO,http://perfil.mercadolibre.com.pe/DLECTRO,2,años,1352,NA,NA,NA,680,1,76,603,"Lima, Lima.",NA,NA
IMPORTACIONESMYJASOCIADOS,http://perfil.mercadolibre.com.pe/IMPORTACIONESMYJASOCIADOS,13,años,132,NA,NA,NA,78,0,6,72,"Lima, Lima.",NA,NA
OSWALDO VALVERDE,http://perfil.mercadolibre.com.pe/OSWALDO+VALVERDE,7,años,464,MercadoLíder¡Está entre los mejores del sitio!,NA,NA,216,0,11,205,"Lima, Lima.",NA,NA
NO2125288,http://perfil.mercadolibre.com.pe/NO2125288,3,meses,39,NA,NA,NA,35,0,1,34,"Lima, Lima.",NA,NA
VELBRO PERU,http://perfil.mercadolibre.com.pe/VELBRO+PERU,4,años,1052,NA,NA,NA,484,0,29,455,"Lima, Lima.",NA,NA
TODATECNOLOGIAPERU.COM.,http://perfil.mercadolibre.com.pe/TODATECNOLOGIAPERU.COM.,7,años,5462,MercadoLíder Gold¡Está entre los mejores del sitio!,NA,NA,1656,26,96,1534,"Lima, Lima.",NA,NA
LATINO.,http://perfil.mercadolibre.com.pe/LATINO.,1,año,600,NA,NA,NA,304,2,16,286,"Lima, Lima.",NA,NA
FLOYDTEC.,http://perfil.mercadolibre.com.pe/FLOYDTEC.,7,años,448,NA,NA,NA,315,0,12,303,"Lima, Lima.",NA,NA
KOBYINVERSIONESSAC,http://perfil.mercadolibre.com.pe/KOBYINVERSIONESSAC,3,años,513,MercadoLíder Gold¡Está entre los mejores del sitio!,NA,NA,353,0,16,337,"Lima, Lima.",NA,NA
DIGITAL-PERU,http://perfil.mercadolibre.com.pe/DIGITAL-PERU,10,años,9200,MercadoLíder Gold¡Está entre los mejores del sitio!,NA,NA,5645,27,246,5372,"Lima, Lima.",NA,NA
INNOVASYSTEMCORP,http://perfil.mercadolibre.com.pe/INNOVASYSTEMCORP,3,años,11630,MercadoLíder Gold¡Está entre los mejores del sitio!,NA,NA,5253,18,272,4963,"Lima, Lima.",NA,NA
SEISA TECNOLOGIES,http://perfil.mercadolibre.com.pe/SEISA+TECNOLOGIES,10,meses,41,NA,NA,NA,38,0,0,38,"Lima, Lima.",NA,NA
DISTRIBUIDORA DACSA,http://perfil.mercadolibre.com.pe/DISTRIBUIDORA+DACSA,11,años,687,MercadoLíder¡Está entre los mejores del sitio!,NA,NA,1038,17,226,795,"Lima, Lima.",NA,NA
DIGITALZ PERU,http://perfil.mercadolibre.com.pe/DIGITALZ+PERU,11,años,4359,MercadoLíder Gold¡Está entre los mejores del sitio!,NA,NA,2445,8,238,2199,"Lima, Lima.",NA,NA
EDISEL.TS,http://perfil.mercadolibre.com.pe/EDISEL.TS,2,años,200,MercadoLíder¡Está entre los mejores del sitio!,NA,NA,127,2,1,124,"Lima, Lima.",NA,NA
Bose Tienda oficial,http://perfil.mercadolibre.com.pe/GWYICHANGYCIASATO?brandId=133,1,año,402,MercadoLíder Gold¡Está entre los mejores del sitio!,NA,NA,262,4,2,256,"Lima, Lima.",NA,NA
AHORAONUNCA1978,http://perfil.mercadolibre.com.pe/AHORAONUNCA1978,1,año,359,MercadoLíder¡Está entre los mejores del sitio!,NA,NA,222,1,11,210,"Lima, Lima.",NA,NA
IPLUS_STORE,http://perfil.mercadolibre.com.pe/IPLUS_STORE,1,año,386,MercadoLíder Gold¡Está entre los mejores del sitio!,NA,NA,278,0,0,278,"Lima, Lima.",NA,NA
EZ TECH,http://perfil.mercadolibre.com.pe/EZ+TECH,2,años,593,NA,NA,NA,236,3,11,222,"Lima, Lima.",NA,NA
GRUPONATIC TIENDA,http://perfil.mercadolibre.com.pe/GRUPONATIC+TIENDA,3,años,5318,MercadoLíder¡Está entre los mejores del sitio!,NA,NA,1862,30,132,1700,"Lima, Lima.",NA,NA
HUANCAYOVENDE.COM,http://perfil.mercadolibre.com.pe/HUANCAYOVENDE.COM,2,años,1036,MercadoLíder Gold¡Está entre los mejores del sitio!,NA,NA,637,2,108,527,"Lima, Lima.",NA,NA
BILLYCARRANZA,http://perfil.mercadolibre.com.pe/BILLYCARRANZA,1,año,57,MercadoLíder¡Está entre los mejores del sitio!,NA,NA,59,0,0,59,"Lima, Lima.",NA,NA
Mesajil Tienda oficial,http://perfil.mercadolibre.com.pe/DISTRIBUIDORAMESAJILHNOS?brandId=153,6,meses,232,MercadoLíder Gold¡Está entre los mejores del sitio!,NA,NA,156,2,5,149,"Lima, Lima.",NA,NA
LUISENRIQUEHUIZASOSA,http://perfil.mercadolibre.com.pe/LUISENRIQUEHUIZASOSA,11,meses,90,NA,NA,NA,77,0,3,74,"Lima, Lima.",NA,NA
KODE_PE,http://perfil.mercadolibre.com.pe/KODE_PE,4,años,199,MercadoLíder¡Está entre los mejores del sitio!,NA,NA,139,1,3,135,"Lima, Lima.",NA,NA
UNALUKA,http://perfil.mercadolibre.com.pe/UNALUKA,9,años,4046,MercadoLíder Gold¡Está entre los mejores del sitio!,NA,NA,2800,8,39,2753,"Lima, Lima.",NA,NA
LA.CAJA.TECNOLÓGICA,http://perfil.mercadolibre.com.pe/LA.CAJA.TECNOL%C3%93GICA,3,años,721,NA,NA,NA,315,0,16,299,"Lima, Lima.",NA,NA
DALTHRON S.A.C.,http://perfil.mercadolibre.com.pe/DALTHRON+S.A.C.,3,años,618,MercadoLíder Gold¡Está entre los mejores del sitio!,NA,NA,414,7,35,372,"Lima, Lima.",NA,NA
OVERPOMIANO,http://perfil.mercadolibre.com.pe/OVERPOMIANO,2,años,440,NA,NA,NA,256,1,3,252,"Lima, Lima.",NA,NA
Pioneer Tienda oficial,http://perfil.mercadolibre.com.pe/GWYICHANGYCIASATO?brandId=82,1,año,402,MercadoLíder Gold¡Está entre los mejores del sitio!,NA,NA,262,4,2,256,"Lima, Lima.",NA,NA
Ultimate Ears Tienda oficial,http://perfil.mercadolibre.com.pe/IN5517657?brandId=142,7,meses,148,MercadoLíder Gold¡Está entre los mejores del sitio!,NA,NA,99,0,4,95,"Lima, Lima.",NA,NA
MACROTELSTORE PERU,http://perfil.mercadolibre.com.pe/MACROTELSTORE+PERU,1,año,36,MercadoLíder¡Está entre los mejores del sitio!,NA,NA,15,1,0,14,"Lima, Lima.",NA,NA
IMPORTVENTASPERU,http://perfil.mercadolibre.com.pe/IMPORTVENTASPERU,6,años,420,NA,NA,NA,572,8,95,469,"Callao, Callao.",NA,NA
LASER IMPORT,http://perfil.mercadolibre.com.pe/LASER+IMPORT,2,años,709,NA,NA,NA,317,3,17,297,"Lima, Lima.",NA,NA
CRISTIANCASTROVELA,http://perfil.mercadolibre.com.pe/CRISTIANCASTROVELA,3,años,18,NA,NA,NA,8,1,3,4,"Lima, Lima.",NA,NA
SHOPOPERU,http://perfil.mercadolibre.com.pe/SHOPOPERU,8,años,3462,MercadoLíder¡Está entre los mejores del sitio!,NA,NA,1596,12,82,1502,"Lima, Lima.",NA,NA
ROJASTONDERJOHANANDERSON,http://perfil.mercadolibre.com.pe/ROJASTONDERJOHANANDERSON,1,año,233,MercadoLíder Gold¡Está entre los mejores del sitio!,NA,NA,196,0,4,192,"Lima, Lima.",NA,NA
JESUS_OUTLOOK,http://perfil.mercadolibre.com.pe/JESUS_OUTLOOK,1,año,83,NA,NA,NA,71,3,6,62,"Lima, Lima.",NA,NA
MIRAFLORES STORE,http://perfil.mercadolibre.com.pe/MIRAFLORES+STORE,5,años,2936,NA,NA,NA,2387,52,399,1936,"Lima, Lima.",NA,NA
WAKAIMPORTACIONES,http://perfil.mercadolibre.com.pe/WAKAIMPORTACIONES,4,años,624,MercadoLíder¡Está entre los mejores del sitio!,NA,NA,331,3,36,292,"Lima, Lima.",NA,NA
