search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Línea,Peso,Modelo,Tipos de filtros del parlante,Conectores de entrada,Potencia de salida (RMS)
1, Parlante Sony Extrabass Bluetooth Resistente Al Agua- Xb01 ,99.895,124.900,"
			
			
				
				169
				vendidos
			
		",(24 disponibles),"
	
		
			
		
		36 cuotas de
		
			
				$ 2.775
			
		
		 sin interés
		
	

	
		",NA,NA,Envío gratis a nivel nacional,NA,NA,4.8,17,https://perfil.mercadolibre.com.co/SONY+COLOMBIA?brandId=11,https://articulo.mercadolibre.com.co/MCO-491523025-parlante-sony-extrabass-bluetooth-resistente-al-agua-xb01-_JM,14,3,0,0,0,#491523025,Sony,EXTRA BASS,160 g,NA,NA,NA,NA
2, Parlante Portátil Sony Extra Bass Con Bluetooth -srs-xb31 ,335.930,479.900,"
			
			
				
				148
				vendidos
			
		",(39 disponibles),"
	
		
			
		
		36 cuotas de
		
			
				$ 9.331
			
		
		 sin interés
		
	

	
		",NA,NA,Envío gratis a nivel nacional,NA,NA,4.9,32,https://perfil.mercadolibre.com.co/SONY+COLOMBIA?brandId=11,https://articulo.mercadolibre.com.co/MCO-474791740-parlante-portatil-sony-extra-bass-con-bluetooth-srs-xb31-_JM,30,1,1,0,0,#474791740,Sony,EXTRA BASS,890 g,SRS-XB31,Activo,USB,NA
3, Parlante Altavoz Bluetooth Radio Portatil Ms ,39.900,48.900,"
			
				Nuevo
			
			
				
					 - 
				
				163
				vendidos
			
		",(737 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 3.325
			
		
		 sin interés
		
	

	
		",NA,NA,Envío gratis a nivel nacional,NA,NA,4.5,10,https://perfil.mercadolibre.com.co/BETHMARC,https://articulo.mercadolibre.com.co/MCO-455564403-parlante-altavoz-bluetooth-radio-portatil-ms-_JM,7,2,0,1,0,#455564403,NA,NA,NA,NA,NA,NA,NA
4, Parlante Portable Jbl Go 2 Bluetooth A Prueba De Agua Go2 ,110.900,147.900,"
			
				Nuevo
			
			
				
					 - 
				
				545
				vendidos
			
		",(35 disponibles),"
	
		
			
		
		36 cuotas de
		
			
				$ 3.081
			
		
		 sin interés
		
	

	
		",NA,NA,Envío gratis a nivel nacional,NA,NA,4.9,85,https://perfil.mercadolibre.com.co/DELLTHUS,https://articulo.mercadolibre.com.co/MCO-461389037-parlante-portable-jbl-go-2-bluetooth-a-prueba-de-agua-go2-_JM,80,3,0,2,0,#461389037,JBL,NA,184 g,JBL Go2,Activo,NA,3 W
5, Parlante Bluetooth Resistente Al Agua Manos Libres Para Baño ,14.900,19.900,"
			
				Nuevo
			
			
				
					 - 
				
				1067
				vendidos
			
		",(77 disponibles),"
	
		
			
		
		36 cuotas de
		
			
				$ 414
			
		
		 sin interés
		
	

	
		",NA,NA,Envío a nivel nacional,NA,NA,4.3,53,https://perfil.mercadolibre.com.co/ARTICULOSALTAGAMA,https://articulo.mercadolibre.com.co/MCO-449583744-parlante-bluetooth-resistente-al-agua-manos-libres-para-bano-_JM,32,11,5,2,3,#449583744,NA,NA,NA,NA,NA,NA,NA
6, Parlante Bluetooth Cabina Activa Sonivox 8 Recargable Portat ,159.900,NA,"
			
				Nuevo
			
			
				
					 - 
				
				139
				vendidos
			
		",(23 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 13.325
			
		
		 sin interés
		
	

	
		",NA,NA,Envío gratis a nivel nacional,NA,NA,4.8,4,https://perfil.mercadolibre.com.co/MUNDONOVEDAD.CO,https://articulo.mercadolibre.com.co/MCO-452765139-parlante-bluetooth-cabina-activa-sonivox-8-recargable-portat-_JM,3,1,0,0,0,#452765139,NA,NA,NA,NA,NA,NA,NA
7, Parlante Recargable Bluetooth Radio Fm Manos Libres + Obs ,17.900,NA,"
			
				Nuevo
			
			
				
					 - 
				
				184
				vendidos
			
		",(85 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 1.492
			
		
		 sin interés
		
	

	
		",NA,NA,Envío a nivel nacional,NA,NA,4.3,15,https://perfil.mercadolibre.com.co/MERCADO+CLICKS,https://articulo.mercadolibre.com.co/MCO-446590928-parlante-recargable-bluetooth-radio-fm-manos-libres-obs-_JM,11,1,1,1,1,#446590928,NA,NA,NA,NA,NA,NA,NA
8, Cabina Sonido Bluetooth 250 W + Micrófono + Control + Obseq ,179.900,299.900,"
			
				Nuevo
			
			
				
					 - 
				
				159
				vendidos
			
		",(65 disponibles),"
	
		
			
		
		36 cuotas de
		
			
				$ 4.997
			
		
		 sin interés
		
	

	
		",NA,NA,Envío gratis a nivel nacional,NA,NA,4.3,10,https://perfil.mercadolibre.com.co/COLOMBIADECOMPRASTV,https://articulo.mercadolibre.com.co/MCO-494413843-cabina-sonido-bluetooth-250-w-microfono-control-obseq-_JM,6,2,1,1,0,#494413843,NA,NA,NA,NA,NA,NA,NA
9, Parlante Jbl Charge 4 Bluetooth Sumergible 100% Original ,464.800,NA,"
			
				Nuevo
			
			
				
					 - 
				
				246
				vendidos
			
		",(98 disponibles),"
	
		
			
		
		36 cuotas de
		
			
				$ 12.911
			
		
		 sin interés
		
	

	
		",NA,NA,Envío gratis a nivel nacional,NA,NA,4.8,39,https://perfil.mercadolibre.com.co/AEY+DISTRIBUCIONES,https://articulo.mercadolibre.com.co/MCO-459158831-parlante-jbl-charge-4-bluetooth-sumergible-100-original-_JM,35,2,2,0,0,#459158831,JBL,NA,NA,Charge 4,Activo,NA,30 W
10," Barra Sonido Bluetooth Led 10w Usb, Fm, Sd 40cm Pantalla ",49.900,NA,"
			
				Nuevo
			
			
				
					 - 
				
				64
				vendidos
			
		",(11 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 4.158
			
		
		 sin interés
		
	

	
		",NA,NA,Envío gratis a nivel nacional,NA,NA,4.5,4,https://perfil.mercadolibre.com.co/VENTASBOGOTAOFICIAL,https://articulo.mercadolibre.com.co/MCO-463493504-barra-sonido-bluetooth-led-10w-usb-fm-sd-40cm-pantalla-_JM,3,0,1,0,0,#463493504,NA,NA,NA,NA,NA,NA,NA
11, Barra Sonido Bocina 41 Cm Bluetooth Parlante 10w Usb Fm + Ob ,49.900,99.900,"
			
				Nuevo
			
			
				
					 - 
				
				61
				vendidos
			
		",(45 disponibles),"
	
		
			
		
		36 cuotas de
		
			
				$ 1.386
			
		
		 sin interés
		
	

	
		",NA,NA,Envío a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/COLOMBIADECOMPRASTV,https://articulo.mercadolibre.com.co/MCO-466300063-barra-sonido-bocina-41-cm-bluetooth-parlante-10w-usb-fm-ob-_JM,NA,NA,NA,NA,NA,#466300063,NA,NA,NA,NA,NA,NA,NA
12, Sistema De Sonido Logitech 5.1 Z607 Garantia 1 Año. ,279.000,NA,"
			
				Nuevo
			
			
				
					 - 
				
				174
				vendidos
			
		",(8 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 23.250
			
		
		 sin interés
		
	

	
		",NA,NA,Envío gratis a nivel nacional,NA,NA,4.7,21,https://perfil.mercadolibre.com.co/EXPOCOLSUMINISTROSSAS,https://articulo.mercadolibre.com.co/MCO-495285483-sistema-de-sonido-logitech-51-z607-garantia-1-ano-_JM,18,1,1,1,0,#495285483,Logitech,NA,NA,NA,NA,RCA,NA
13, Parlante Altavoz Portatil Charge 3+/10w Fm Bluetooth Sd Usb ,69.990,NA,"
			
				Nuevo
			
			
				
					 - 
				
				116
				vendidos
			
		",(6 disponibles),"
	
		
			
		
		36 cuotas de
		
			
				$ 1.944
			
		
		 sin interés
		
	

	
		",NA,NA,Envío gratis a nivel nacional,NA,NA,4.8,12,https://perfil.mercadolibre.com.co/TITAN+ELECTRONIC,https://articulo.mercadolibre.com.co/MCO-464734363-parlante-altavoz-portatil-charge-310w-fm-bluetooth-sd-usb-_JM,11,0,1,0,0,#464734363,NA,NA,NA,NA,Activo,NA,10 W
14, Parlante Portátil Sony Extra Bass Con Bluetooth -srs-xb31 ,335.930,479.900,"
			
			
				
				148
				vendidos
			
		",(39 disponibles),"
	
		
			
		
		36 cuotas de
		
			
				$ 9.331
			
		
		 sin interés
		
	

	
		",NA,NA,Envío gratis a nivel nacional,NA,NA,4.9,32,https://perfil.mercadolibre.com.co/SONY+COLOMBIA?brandId=11,https://click1.mercadolibre.com.co/mclics/clicks/external/MCO/count?a=wSECQdopL7G6gt4Zii1R8ipF8V%2BviFZu1XR90YEWZblGh54UHbWQfaU06M359Z63%2FBAV9eXutatQNJrTIVWzuH0W1GjbUFozoYVinZT3yiGLcePoFdTPY8ZWFte2uKREdTNbPXXn%2BADv4254IarLCGH6VCaQU1pMCFGes%2BcHWWGiQFLHnheg0%2FOQeK%2FpaxzkS%2F35Vu0PFun4vvYwAv%2BAYk7fdYlwmOM1xkFsU9uWkmHt14iUIvOx%2F6d4r%2BC97gLmaUeSoz2SQxSFoUtpi6OOdwAIQd71CdnGwzmtn%2B44ab6Zl5kDLthHCq5me2O1EE4XRdUMSVzxoUfT7nnbeAcwHRkCjNskr0pnRlPqFbgAzttpHs4BnKcu%2FbPzwbIgP5l57Z67C8iNei5YITRodYvPRsr0cXk%2Fet2nOs3z%2BnNvEcys2rxPUm%2B6gVIPUAHvhGrAdo835hIl%2BRl%2B5oJuIiJO7q6h87MUR84B9BDN0uDbYtU0lbffmM6QENW%2Bow3ctKQ2%2FDXsijUMuD3WvDl8ipDi00aoYRjXBj1VNTQ%2FWAPrQWLENZgJBAPKfrsPaaLM3zXy%2FX5wig2AIiPeyAe9OdJKK2Jc27Gqmfzx7iK6PRcpfBW2JZaX2mkBQTLp9b3oQ%2FMAYgIxOAzYN6IcoKUP0iZw6TGGQP4diXF53ky1LIC%2FWAwwjfJvfklF5l65WRClph9%2BtoNiux1l0m076tW4%2BI1bYysVRP40zPZpyrbZbrM3Ear022dd1klQmWYYpxggEv3QKkHg0QSzwSGcvZsJwsVVwgKb7Kc7Rfo7xt4GhTTe72zc%2F%2FQbDLC%2BhIukGDPLMmRnaE03GZ0ZHnK5q8K%2FGZcL%2Bwf%2BwyTH5TXV32PpmTUsB3ghUnMKhZgjTY8whwRL%2B2JDpoOZcDffRwoqAKhrRa4%2FaqeLT7OBV3KhYcT3WZPKotu7TRLqWaUpQSUDlLm9cGhYkx2DzdYfeZJc0KIdIBqaUfxK4QBoTaRhWCNnizf%2BTQ%2FGjPUJ0OHP8QR9a62YAEF7cIxOx6iF0ZtbVZBvK5uOgWz0lLUGePFVQkeoXLCC0Xa58BiCPtcLofvDa2GyjInTX5YLxADP1X%2BGYt0pWPSkm3oI%2BlcjVCBmQTNWORhllXvR%2F5kCOMGd0cHqxiYukeJL1KvUU8CHC8tVKcc2P1%2FY7M7pNXQzKHrg330LfRPYNVzGtJl9k%2FW7l%2ByumT1sNH0kfe2hZAWLga8lYRf9i9skddfnWBKj%2F5TvqCMWTw%2BxR3DCZLZu5XcDLap5auybQ2e5Sg5xcP1k%2BYpiGH3GBiusUtbXNGo6vb6RUzE7kQDQnNWFcORDEY4tcPpUUnvM09HRXlqsoLachvke9SCawhW0hvv5Ooal5%2Bd764gah0f6pHiCIQCa7107ePic9Tq19m%2BuCXpvZmrrZZlohnXEYYPj78SFZWmMLY29p3fWEL8egGq9BStvxAelkTJliIsi5x6gmzWy8Gi5FBRkTP6g5oDIw3A1jw5d,30,1,1,0,0,#474791740,Sony,EXTRA BASS,890 g,SRS-XB31,Activo,USB,NA
15, Parlante Portable Jbl Flip 4 Negro Original Negro ,309.900,NA,"
			
				Nuevo
			
			
				
					 - 
				
				258
				vendidos
			
		",(7 disponibles),"
	
		
			
		
		36 cuotas de
		
			
				$ 8.608
			
		
		 sin interés
		
	

	
		",NA,NA,Envío gratis a nivel nacional,NA,NA,4.9,40,https://perfil.mercadolibre.com.co/JL+LUJO,https://articulo.mercadolibre.com.co/MCO-459246938-parlante-portable-jbl-flip-4-negro-original-negro-_JM,37,3,0,0,0,#459246938,JBL,Flip Series,NA,Flip 4,Activo,NA,16 W
16," Barra Sonido Bluetooth 40cm Parlante 12w, Usb, Sd ",59.900,NA,"
			
				Nuevo
			
			
				
					 - 
				
				169
				vendidos
			
		",(11 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 4.992
			
		
		 sin interés
		
	

	
		",NA,NA,Envío a nivel nacional,NA,NA,4.6,13,https://perfil.mercadolibre.com.co/COMPRASDE+VERDAD,https://articulo.mercadolibre.com.co/MCO-453077096-barra-sonido-bluetooth-40cm-parlante-12w-usb-sd-_JM,11,0,1,1,0,#453077096,NA,NA,NA,NA,NA,NA,NA
17, Parlantes Anker Soundcare Select Bluetooth Carga 24 Hrs Ipx5 ,90.000,NA,"
			
				Nuevo
			
			
				
					 - 
				
				51
				vendidos
			
		",(3 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 7.500
			
		
		 sin interés
		
	

	
		",NA,NA,Envío gratis a nivel nacional,NA,NA,4.8,10,https://perfil.mercadolibre.com.co/TECHCOMCO,https://articulo.mercadolibre.com.co/MCO-500603456-parlantes-anker-soundcare-select-bluetooth-carga-24-hrs-ipx5-_JM,9,0,1,0,0,#500603456,Anker,NA,365 g,A3106,NA,NA,12 W
18, Parlante Radio Reloj Brightside Despertador - Alta Calidad ,75.900,NA,"
			
			
				
				40
				vendidos
			
		",(36 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 6.325
			
		
		 sin interés
		
	

	
		",NA,NA,Envío gratis a nivel nacional,NA,NA,3.8,4,https://perfil.mercadolibre.com.co/INNOVATECHCOSAS?brandId=627,https://click1.mercadolibre.com.co/mclics/clicks/external/MCO/count?a=iEtsLxwTvF8uZVr5znvVj7NcCfKnx3qRJSuBzRMU%2FhK5H6uTl%2FJXK9vVrgyag5%2BT0pV%2BPQkLVCiGIFcJJdrUdrII7T2VmaRqMV5Mp1Gi%2FHmLbzUvAzOTQP%2B1sqQI58wXHSju0Gyh8n53nCsanBwL4YP4i2hEPSKucyqHyJz7pRwlEwGJiV7nIPLLEA3tM1YdRFMYwVQ80qBX2ryYWzSg0E9a84aBKO5U0TwyrnzT%2Bj1osFBBd1mCtEkTOr23nNQv12fA7jJeuzLi6Ij4hzm%2FiXy%2B1eD5dizRe%2FnYY8jZAH4gh776zSuQvuDLbKclcP0%2F9e35G8ftdVHUYhwPSGR%2F1dvCvR%2FCg%2FagWitciaOoINVwCqx3Mb2L5fnrfubkdRjf72eHTAHRDeBxqOQDzT4GbvlehCQlxTVUMNtF855zM%2F%2Fvp3P3alC2pcPe3Zc1F0P6BosY4qy1HKD2ukDtJA7XEHr0Km0l54gmlzHef6riO9iNHRP7xt%2FN0og35fmHQfeD8on%2FnYVR9goFSSO8x14p3hKh9IGKT5Gpv2stbl2QwuD4d7hS%2FKmLT%2Fa8rq6LLyNPNpk2XHvVz2QnK6U4B4CDsLojKqCTRjn0kabnQZjE2ng7K%2BbQaLZgj5w09SLCEKdq3bqsQP7JUqZ2GYlL4X9nwtB9kIF0EiIBwULza%2B%2Bq1zXP3h%2FixIKwJ6feWl0vvw6pIgR1UZOQPq7FutDiCKg%2FiPphGZCQqwxJAVJX1bHB59GpeDuXmEB3Bj98ZEdpgyehc%2F4H2LY6r7zwk3nP%2BbphqHNTsEN4OPyvGWuYv6jbFXTDfaHf5rqYk3dSVxvykTcdp6OUiEHpAtT%2BIWPX2tEqiNuDXShb6t0LqZ0TdAd7k3tGASMfGsetaB6oy2Qkt%2Fbz3LRdS%2FEFdMkPEmAAErlASu%2Busac6IlFMOa0O2kiUF22rVB4B%2FwNnDtgsYabMUgYwrr5Htcv1bZR6WBP0JFaoCiA9m4LGhPMkfZT3Tp9kfC2LetyzRAFd5d%2F%2FOOvNIxw2bHQqhfDpABwGGrnqapvL8P5L1gbk6cz9UTcev0NXR%2BRGVdDAdDR%2BhZ%2FVEeyOyAN%2Fbc7atE%2Bn2jYn%2Bs%2BhBS4UP1v9DOuLymZI%2FcLUjN1j9Q6q8NDOYRy30tvW0Hb4pzdRC%2FgBWusQOSqmyG051zqoxXebLJQLV8dXP1V3gQY1xe7tqHrsHl9BP4JXNFs1NRTrS%2B1USV6yLYrg0AEpNe%2B9nPoU%2Bq46ZQPn88a0DrancqDcXtawofaxG%2BGQoFZj04jAODa8BLlNCEeQ7W3RWWDMMv9GnT8Ts70hI9xjmfJjtld2grnd%2FBKsIK5mOHfHNDVviicLMzmbN4sg%2BLr8U2BsFElX5s6bLIt4Q6qOK4%2BRNpzu8EFGUtJ6raVpI7JxrCkG1N8GmNt8DR3qIxSLDdlYLXZt5kTtEJDb3x9%2Fa5uO78%2Bqe1xH9KgCyl%2FLTD3IXw3rM23GruyBDN9sfnkdFM8rWXYUjP5g,2,1,0,0,1,#507364129,Brightiside,NA,NA,BSSP-001,Activo,NA,10 W
19, Micrófono Karaoke Q7 - Bluetooth Parlante Portatil + Estuch ,41.900,59.900,"
			
				Nuevo
			
			
				
					 - 
				
				569
				vendidos
			
		",(58 disponibles),"
	
		
			
		
		36 cuotas de
		
			
				$ 1.164
			
		
		 sin interés
		
	

	
		",NA,NA,Envío a nivel nacional,NA,NA,4.5,36,https://perfil.mercadolibre.com.co/ARTICULOSALTAGAMA,https://articulo.mercadolibre.com.co/MCO-455787971-microfono-karaoke-q7-bluetooth-parlante-portatil-estuch-_JM,25,7,2,0,2,#455787971,NA,NA,NA,NA,NA,NA,NA
20, Cabina Sonivox 1455 De 400w Bluetooth Fm Microfono Karaoke ,157.800,NA,"
			
				Nuevo
			
			
				
					 - 
				
				59
				vendidos
			
		",(41 disponibles),"
	
		
			
		
		36 cuotas de
		
			
				$ 4.383
			
		
		 sin interés
		
	

	
		",NA,NA,Envío gratis a nivel nacional,NA,NA,5.0,5,https://perfil.mercadolibre.com.co/ALI-BAG,https://articulo.mercadolibre.com.co/MCO-473630611-cabina-sonivox-1455-de-400w-bluetooth-fm-microfono-karaoke-_JM,5,0,0,0,0,#473630611,Sonivox,NA,3.5 kg,NA,NA,NA,NA
21, Parlante Bluetooth Mini Speaker Carrito ,11.000,NA,"
			
				Nuevo
			
			
				
					 - 
				
				111
				vendidos
			
		",(37 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 917
			
		
		 sin interés
		
	

	
		",NA,NA,Envío a nivel nacional,NA,NA,3.5,2,https://perfil.mercadolibre.com.co/TITAN+ELECTRONIC,https://articulo.mercadolibre.com.co/MCO-452425686-parlante-bluetooth-mini-speaker-carrito-_JM,NA,NA,NA,NA,NA,#452425686,speaker carrito,NA,NA,NA,Pasivo,NA,3 W
22, Parlante Jbl Go Bluetooth Portatil ,85.000,NA,"
			
				Nuevo
			
			
				
					 - 
				
				127
				vendidos
			
		",(37 disponibles),"
	
		
			
		
		36 cuotas de
		
			
				$ 2.361
			
		
		 sin interés
		
	

	
		",NA,NA,Envío gratis a nivel nacional,NA,NA,4.9,7,https://perfil.mercadolibre.com.co/ELECTROCOMPRASONLINE,https://articulo.mercadolibre.com.co/MCO-476961874-parlante-jbl-go-bluetooth-portatil-_JM,6,1,0,0,0,#476961874,JBL,NA,NA,GO,Pasivo,NA,3 W
23, Parlante Bafle Para Ducha Bluetooth Resiste Agua ,19.500,NA,"
			
				Nuevo
			
			
				
					 - 
				
				118
				vendidos
			
		",(194 disponibles),"
	
		
			
		
		36 cuotas de
		
			
				$ 542
			
		
		 sin interés
		
	

	
		",NA,NA,Envío a nivel nacional,NA,NA,4.0,8,https://perfil.mercadolibre.com.co/IMPORTACIONESTELLEZ,https://articulo.mercadolibre.com.co/MCO-458233213-parlante-bafle-para-ducha-bluetooth-resiste-agua-_JM,6,0,0,0,2,#458233213,NA,NA,NA,NA,NA,NA,NA
24," Barra Sonido Bluetooth 40cm Pantalla Led 10w Usb, Fm, Sd + O ",59.900,99.900,"
			
				Nuevo
			
			
				
					 - 
				
				356
				vendidos
			
		",(61 disponibles),"
	
		
			
		
		36 cuotas de
		
			
				$ 1.664
			
		
		 sin interés
		
	

	
		",NA,NA,Envío a nivel nacional,NA,NA,4.6,64,https://perfil.mercadolibre.com.co/COLOMBIADECOMPRASTV,https://articulo.mercadolibre.com.co/MCO-445897812-barra-sonido-bluetooth-40cm-pantalla-led-10w-usb-fm-sd-o-_JM,47,11,4,2,0,#445897812,NA,NA,NA,NA,NA,NA,NA
25," Logitech Z607, Altavoces 5.1 Sonido Envolvente Con Bluetooth ",299.900,349.900,"
			
			
				
				55
				vendidos
			
		",(12 disponibles),"
	
		
			
		
		36 cuotas de
		
			
				$ 8.331
			
		
		 sin interés
		
	

	
		",NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/TIENDA.OFICIAL?brandId=151,https://articulo.mercadolibre.com.co/MCO-509252426-logitech-z607-altavoces-51-sonido-envolvente-con-bluetooth-_JM,NA,NA,NA,NA,NA,#509252426,Logitech,NA,NA,NA,NA,RCA,NA
26, Cabina Parlante Portátil Recargable Bluetooth Usb Sd Fm ,133.900,NA,"
			
				Nuevo
			
			
				
					 - 
				
				100
				vendidos
			
		",(6 disponibles),"
	
		
			
		
		36 cuotas de
		
			
				$ 3.719
			
		
		 sin interés
		
	

	
		",NA,NA,Envío gratis a nivel nacional,NA,NA,4.8,14,https://perfil.mercadolibre.com.co/NYJTRADING,https://articulo.mercadolibre.com.co/MCO-469799043-cabina-parlante-portatil-recargable-bluetooth-usb-sd-fm-_JM,11,3,0,0,0,#469799043,NA,NA,NA,NA,NA,NA,NA
27, Parlante Para Bicicleta Con Bluetooth Linterna Power Bank ,60.000,NA,"
			
				Nuevo
			
			
				
					 - 
				
				60
				vendidos
			
		",(94 disponibles),"
	
		
			
		
		36 cuotas de
		
			
				$ 1.667
			
		
		 sin interés
		
	

	
		",NA,NA,Envío a nivel nacional,NA,NA,4.7,6,https://perfil.mercadolibre.com.co/ARTICULOSALTAGAMA,https://articulo.mercadolibre.com.co/MCO-460990959-parlante-para-bicicleta-con-bluetooth-linterna-power-bank-_JM,4,2,0,0,0,#460990959,Mymobile,NA,NA,S1,NA,NA,5 W
28, Parlante Portable Jbl Flip 4 12 Horas Sumergible Original ,309.900,NA,"
			
				Nuevo
			
			
				
					 - 
				
				114
				vendidos
			
		",(22 disponibles),"
	
		
			
		
		36 cuotas de
		
			
				$ 8.608
			
		
		 sin interés
		
	

	
		",NA,NA,Envío gratis a nivel nacional,NA,NA,4.9,27,https://perfil.mercadolibre.com.co/JL+LUJO,https://articulo.mercadolibre.com.co/MCO-467204584-parlante-portable-jbl-flip-4-12-horas-sumergible-original-_JM,24,3,0,0,0,#467204584,JBL,NA,515 g,Flip 4,NA,NA,NA
29, Parlante Radio Reloj Brightside Despertador - Alta Calidad ,75.900,NA,"
			
			
				
				40
				vendidos
			
		",(36 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 6.325
			
		
		 sin interés
		
	

	
		",NA,NA,Envío gratis a nivel nacional,NA,NA,3.8,4,https://perfil.mercadolibre.com.co/INNOVATECHCOSAS?brandId=627,https://articulo.mercadolibre.com.co/MCO-507364129-parlante-radio-reloj-brightside-despertador-alta-calidad-_JM,2,1,0,0,1,#507364129,Brightiside,NA,NA,BSSP-001,Activo,NA,10 W
30, Parlante Portátil Sony Extra Bass Con Bluetooth -srs-xb21 ,239.900,329.900,"
			
			
				
				188
				vendidos
			
		",NA,NA,NA,NA,NA,NA,NA,4.9,19,https://perfil.mercadolibre.com.co/SONY+COLOMBIA?brandId=11,https://articulo.mercadolibre.com.co/MCO-474791732-parlante-portatil-sony-extra-bass-con-bluetooth-srs-xb21-_JM,17,2,0,0,0,#474791732,Sony,EXTRA BASS,530 g,SRS-XB21,Activo,USB,NA
31, Parlante Bluetooth 308 Radio Fm Micro Sd Usb Promoción ,29.900,NA,"
			
				Nuevo
			
			
				
					 - 
				
				288
				vendidos
			
		",(136 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 2.492
			
		
		 sin interés
		
	

	
		",NA,NA,Envío a nivel nacional,NA,NA,4.6,8,https://perfil.mercadolibre.com.co/ALI-BAG,https://articulo.mercadolibre.com.co/MCO-451708942-parlante-bluetooth-308-radio-fm-micro-sd-usb-promocion-_JM,6,1,1,0,0,#451708942,NA,NA,NA,NA,NA,NA,NA
32, Bafle Parlante Cabina De Musica Usb Bluetooth Portatil Envio ,54.990,NA,"
			
				Nuevo
			
			
				
					 - 
				
				45
				vendidos
			
		",(55 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 4.582
			
		
		 sin interés
		
	

	
		",NA,NA,Envío a nivel nacional,NA,NA,5.0,1,https://perfil.mercadolibre.com.co/TECNONOVEDADESCO,https://articulo.mercadolibre.com.co/MCO-481130845-bafle-parlante-cabina-de-musica-usb-bluetooth-portatil-envio-_JM,NA,NA,NA,NA,NA,#481130845,NA,NA,NA,NA,NA,NA,NA
33, Parlante Jbl Charge 4 Bluetooth Sumergible 100% Original ,467.900,NA,"
			
				Nuevo
			
			
				
					 - 
				
				47
				vendidos
			
		",(28 disponibles),"
	
		
			
		
		36 cuotas de
		
			
				$ 12.997
			
		
		 sin interés
		
	

	
		",NA,NA,Envío gratis a nivel nacional,NA,NA,4.8,39,https://perfil.mercadolibre.com.co/JL+LUJO,https://articulo.mercadolibre.com.co/MCO-492301475-parlante-jbl-charge-4-bluetooth-sumergible-100-original-_JM,35,2,2,0,0,#492301475,JBL,NA,2.13 lb,Charge 4,Activo,NA,30 W
34, Bombillo Led Multicolor Parlante Control * No Luz Blanca ,26.800,NA,"
			
				Nuevo
			
			
				
					 - 
				
				69
				vendidos
			
		",(9 disponibles),"
	
		
			
		
		36 cuotas de
		
			
				$ 744
			
		
		 sin interés
		
	

	
		",NA,NA,Envío a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/MULTIDETALLE+MEDELLIN,https://articulo.mercadolibre.com.co/MCO-496217008-bombillo-led-multicolor-parlante-control-no-luz-blanca-_JM,NA,NA,NA,NA,NA,#496217008,Importado,NA,NA,Bombillo Musical Multicolor,NA,NA,NA
