seller_name,link,time_operating,units_of_time_operating,amt_sold,leader_status,top_descriptor1,top_descriptor2,num_reviews,num_neg_reviews,num_neutral_reviews,num_pos_reviews,location,timeframe_of_amt_sold
Anker Tienda oficial,http://perfil.mercadolibre.com.pe/ANKER+PERU?brandId=144,7,7 meses vendiendo en Mercado Libre,259,MercadoLíder¡Está entre los mejores del sitio!,NA,NA,150,Negativa (2),Neutral (4),Positiva (144),"Lima, Lima.",NA
ZEALOTT IMPORTACIONES,http://perfil.mercadolibre.com.pe/ZEALOTT+IMPORTACIONES,2,2 años vendiendo en Mercado Libre,857,MercadoLíder Gold¡Está entre los mejores del sitio!,NA,NA,602,Negativa (0),Neutral (0),Positiva (602),"Lima, Lima.",NA
CLOUD BUSINESS,http://perfil.mercadolibre.com.pe/CLOUD+BUSINESS,6,6 años vendiendo en Mercado Libre,1231,MercadoLíder Gold¡Está entre los mejores del sitio!,NA,NA,558,Negativa (0),Neutral (2),Positiva (556),"Lima, Lima.",NA
GRUPONATIC.PE,http://perfil.mercadolibre.com.pe/GRUPONATIC.PE,4,4 años vendiendo en Mercado Libre,23761,MercadoLíder Gold¡Está entre los mejores del sitio!,NA,NA,8491,Negativa (187),Neutral (703),Positiva (7601),"Lima, Lima.",NA
MONTEZAMOVIL,http://perfil.mercadolibre.com.pe/MONTEZAMOVIL,1,1 año vendiendo en Mercado Libre,313,MercadoLíder Gold¡Está entre los mejores del sitio!,NA,NA,209,Negativa (1),Neutral (5),Positiva (203),"Lima, Lima.",NA
HUMA7820320,http://perfil.mercadolibre.com.pe/HUMA7820320,4,4 años vendiendo en Mercado Libre,2177,MercadoLíder¡Está entre los mejores del sitio!,NA,NA,862,Negativa (2),Neutral (48),Positiva (812),"Lima, Lima.",NA
CASEMOTIONS.PE,http://perfil.mercadolibre.com.pe/CASEMOTIONS.PE,4,4 años vendiendo en Mercado Libre,4227,MercadoLíder Gold¡Está entre los mejores del sitio!,NA,NA,2521,Negativa (0),Neutral (11),Positiva (2510),"Lima, Lima.",NA
FULL NOVEDADES-,http://perfil.mercadolibre.com.pe/FULL+NOVEDADES-,11,11 meses vendiendo en Mercado Libre,893,MercadoLíder Gold¡Está entre los mejores del sitio!,NA,NA,613,Negativa (0),Neutral (18),Positiva (595),"Lima, Lima.",NA
BRUNOESPINOZAFALCN,http://perfil.mercadolibre.com.pe/BRUNOESPINOZAFALCN,1,1 año vendiendo en Mercado Libre,1039,MercadoLíder Gold¡Está entre los mejores del sitio!,NA,NA,473,Negativa (2),Neutral (5),Positiva (466),"Lima, Lima.",NA
FROG_PEOPLE _IMPORT,http://perfil.mercadolibre.com.pe/FROG_PEOPLE+_IMPORT,8,8 años vendiendo en Mercado Libre,2356,NA,NA,NA,1604,Negativa (9),Neutral (191),Positiva (1404),"Lima, Lima.",NA
PASAJECENTRALSAC,http://perfil.mercadolibre.com.pe/PASAJECENTRALSAC,1,1 año vendiendo en Mercado Libre,965,MercadoLíder Gold¡Está entre los mejores del sitio!,NA,NA,560,Negativa (0),Neutral (2),Positiva (558),"Lima, Lima.",NA
DIGITAL-PERU,http://perfil.mercadolibre.com.pe/DIGITAL-PERU,10,10 años vendiendo en Mercado Libre,9115,MercadoLíder Gold¡Está entre los mejores del sitio!,NA,NA,5603,Negativa (26),Neutral (246),Positiva (5331),"Lima, Lima.",NA
MATHEUSBARTRA,http://perfil.mercadolibre.com.pe/MATHEUSBARTRA,3,3 años vendiendo en Mercado Libre,1232,MercadoLíder Gold¡Está entre los mejores del sitio!,NA,NA,315,Negativa (5),Neutral (7),Positiva (303),"Lima, Lima.",NA
MAJU4927724,http://perfil.mercadolibre.com.pe/MAJU4927724,2,2 años vendiendo en Mercado Libre,1435,MercadoLíder Gold¡Está entre los mejores del sitio!,NA,NA,858,Negativa (1),Neutral (5),Positiva (852),"Lima, Lima.",NA
MKURON0,http://perfil.mercadolibre.com.pe/MKURON0,4,4 años vendiendo en Mercado Libre,1391,NA,NA,NA,711,Negativa (0),Neutral (0),Positiva (711),"Lima, Lima.",NA
VRB EIRL,http://perfil.mercadolibre.com.pe/VRB+EIRL,7,7 años vendiendo en Mercado Libre,3155,NA,NA,NA,1501,Negativa (83),Neutral (110),Positiva (1308),"Lima, Lima.",NA
FRANKSMAZA,http://perfil.mercadolibre.com.pe/FRANKSMAZA,5,5 años vendiendo en Mercado Libre,418,MercadoLíder¡Está entre los mejores del sitio!,NA,NA,267,Negativa (1),Neutral (9),Positiva (257),"Lima, Lima.",NA
SOLUMATICA IMPORT,http://perfil.mercadolibre.com.pe/SOLUMATICA+IMPORT,9,9 años vendiendo en Mercado Libre,2283,MercadoLíder¡Está entre los mejores del sitio!,NA,NA,1298,Negativa (0),Neutral (43),Positiva (1255),"Lima, Lima.",NA
ARAMBURUPEDRO,http://perfil.mercadolibre.com.pe/ARAMBURUPEDRO,7,7 años vendiendo en Mercado Libre,380,NA,NA,NA,241,Negativa (0),Neutral (1),Positiva (240),"Lima, Lima.",NA
Sony Tienda oficial,http://perfil.mercadolibre.com.pe/SONYPERUSRL?brandId=25,2,2 años vendiendo en Mercado Libre,1555,MercadoLíder Gold¡Está entre los mejores del sitio!,NA,NA,994,Negativa (22),Neutral (68),Positiva (904),"Lima, Lima.",NA
PRO-ACCESORIOS,http://perfil.mercadolibre.com.pe/PRO-ACCESORIOS,3,3 años vendiendo en Mercado Libre,853,NA,NA,NA,452,Negativa (0),Neutral (15),Positiva (437),"Lima, Lima.",NA
TITECHNOLOGYIMPORT,http://perfil.mercadolibre.com.pe/TITECHNOLOGYIMPORT,1,1 año vendiendo en Mercado Libre,128,MercadoLíder¡Está entre los mejores del sitio!,NA,NA,70,Negativa (0),Neutral (2),Positiva (68),"Lima, Lima.",NA
VENTAS O.,http://perfil.mercadolibre.com.pe/VENTAS+O.,8,8 años vendiendo en Mercado Libre,1501,MercadoLíder¡Está entre los mejores del sitio!,NA,NA,879,Negativa (2),Neutral (48),Positiva (829),"Lima, Lima.",NA
LIZANDROAN,http://perfil.mercadolibre.com.pe/LIZANDROAN,3,3 años vendiendo en Mercado Libre,875,NA,NA,NA,558,Negativa (5),Neutral (47),Positiva (506),"Lima, Lima.",NA
VMC SOLUCIONES,http://perfil.mercadolibre.com.pe/VMC+SOLUCIONES,9,9 años vendiendo en Mercado Libre,3600,MercadoLíder Gold¡Está entre los mejores del sitio!,NA,NA,1884,Negativa (16),Neutral (105),Positiva (1763),"Lima, Lima.",NA
ITELSISTEMSAC,http://perfil.mercadolibre.com.pe/ITELSISTEMSAC,6,6 años vendiendo en Mercado Libre,7230,MercadoLíder¡Está entre los mejores del sitio!,NA,NA,4488,Negativa (8),Neutral (349),Positiva (4131),"Lima, Lima.",NA
INTECGLOBALPERU,http://perfil.mercadolibre.com.pe/INTECGLOBALPERU,5,5 años vendiendo en Mercado Libre,5157,MercadoLíder Gold¡Está entre los mejores del sitio!,NA,NA,3666,Negativa (7),Neutral (31),Positiva (3628),"Lima, Lima.",NA
AVY-BELLA,http://perfil.mercadolibre.com.pe/AVY-BELLA,3,3 años vendiendo en Mercado Libre,522,NA,NA,NA,245,Negativa (0),Neutral (5),Positiva (240),"Lima, Lima.",NA
IMANIA.PERU,http://perfil.mercadolibre.com.pe/IMANIA.PERU,2,2 años vendiendo en Mercado Libre,2073,MercadoLíder Gold¡Está entre los mejores del sitio!,NA,NA,1103,Negativa (0),Neutral (11),Positiva (1092),"Lima, Lima.",NA
BESTOFFERSPERU,http://perfil.mercadolibre.com.pe/BESTOFFERSPERU,5,5 años vendiendo en Mercado Libre,1524,MercadoLíder Gold¡Está entre los mejores del sitio!,NA,NA,1046,Negativa (2),Neutral (61),Positiva (983),"Lima, Lima.",NA
TODATECNOLOGIAPERU.COM.,http://perfil.mercadolibre.com.pe/TODATECNOLOGIAPERU.COM.,7,7 años vendiendo en Mercado Libre,5444,MercadoLíder Gold¡Está entre los mejores del sitio!,NA,NA,1641,Negativa (26),Neutral (96),Positiva (1519),"Lima, Lima.",NA
AGKE6470835,http://perfil.mercadolibre.com.pe/AGKE6470835,6,6 meses vendiendo en Mercado Libre,19,NA,NA,NA,14,Negativa (1),Neutral (0),Positiva (13),"Lima, Lima.",NA
HANNZOTIENDAONLINE,http://perfil.mercadolibre.com.pe/HANNZOTIENDAONLINE,1,1 año vendiendo en Mercado Libre,363,NA,NA,NA,190,Negativa (3),Neutral (21),Positiva (166),"Lima, Lima.",NA
NRTELCOM,http://perfil.mercadolibre.com.pe/NRTELCOM,5,5 años vendiendo en Mercado Libre,3089,MercadoLíder Gold¡Está entre los mejores del sitio!,NA,NA,1283,Negativa (18),Neutral (201),Positiva (1064),"Lima, Lima.",NA
DIGITALPERU,http://perfil.mercadolibre.com.pe/DIGITALPERU,11,11 años vendiendo en Mercado Libre,249,NA,NA,NA,1406,Negativa (8),Neutral (120),Positiva (1278),"Miraflores, Lima.",NA
MIALIENSTORE,http://perfil.mercadolibre.com.pe/MIALIENSTORE,3,3 años vendiendo en Mercado Libre,1058,MercadoLíder Gold¡Está entre los mejores del sitio!,NA,NA,677,Negativa (1),Neutral (26),Positiva (650),"Lima, Lima.",NA
ANDREUS STORE,http://perfil.mercadolibre.com.pe/ANDREUS+STORE,11,11 meses vendiendo en Mercado Libre,19,NA,NA,NA,25,Negativa (0),Neutral (0),Positiva (25),"Lima, Lima.",NA
EZ TECH,http://perfil.mercadolibre.com.pe/EZ+TECH,2,2 años vendiendo en Mercado Libre,589,NA,NA,NA,235,Negativa (3),Neutral (11),Positiva (221),"Lima, Lima.",NA
PEDROAE24,http://perfil.mercadolibre.com.pe/PEDROAE24,4,4 años vendiendo en Mercado Libre,40,NA,NA,NA,38,Negativa (0),Neutral (1),Positiva (37),"Lima, Lima.",NA
RAUL.BERNARDO,http://perfil.mercadolibre.com.pe/RAUL.BERNARDO,5,5 meses vendiendo en Mercado Libre,12,NA,NA,NA,7,Negativa (1),Neutral (0),Positiva (6),"Lima, Lima.",NA
BRUNELLA_GIA,http://perfil.mercadolibre.com.pe/BRUNELLA_GIA,5,5 años vendiendo en Mercado Libre,244,NA,NA,NA,148,Negativa (2),Neutral (5),Positiva (141),"Lima, Lima.",NA
AUDIO_FILO,http://perfil.mercadolibre.com.pe/AUDIO_FILO,1,1 año vendiendo en Mercado Libre,185,MercadoLíder¡Está entre los mejores del sitio!,NA,NA,66,Negativa (2),Neutral (1),Positiva (63),"Lima, Lima.",NA
PABLOCINVERSIONES,http://perfil.mercadolibre.com.pe/PABLOCINVERSIONES,4,4 años vendiendo en Mercado Libre,4039,MercadoLíder¡Está entre los mejores del sitio!,NA,NA,1804,Negativa (7),Neutral (86),Positiva (1711),"Lima, Lima.",NA
Sennheiser Tienda oficial,http://perfil.mercadolibre.com.pe/TECNOLOGIAYREPRESENTACIONESS?brandId=79,1,1 año vendiendo en Mercado Libre,88,MercadoLíder¡Está entre los mejores del sitio!,NA,NA,61,Negativa (0),Neutral (0),Positiva (61),"Lima, Lima.",NA
ALEXANDERCENTENOGUTIERREZ,http://perfil.mercadolibre.com.pe/ALEXANDERCENTENOGUTIERREZ,2,2 años vendiendo en Mercado Libre,121,NA,NA,NA,55,Negativa (1),Neutral (3),Positiva (51),"Lima, Lima.",NA
