search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,color,size,Marca,Modelo,Tipo de casco,Peso,Línea,Tipo
1, Casco Ich Integral 503 Certificado Gratis Placas Dot ,109.9,159.9,453,26,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,4.6,20,https://perfil.mercadolibre.com.co/LUJOACCESORIOS,https://articulo.mercadolibre.com.co/MCO-461184205-casco-ich-integral-503-certificado-gratis-placas-dot-_JM?searchVariation=40175841457,17,1,0,0,2,#461184205,Negro,"M,L,XL",ICH,503,Integral,1000 g,NA,NA
2, 2 Cascos Moto Certificados Abatible Ich Gratis Placas Dot ,189.9,249.9,1153,946,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,4.7,104,https://perfil.mercadolibre.com.co/LUJOACCESORIOS,https://articulo.mercadolibre.com.co/MCO-451628815-2-cascos-moto-certificados-abatible-ich-gratis-placas-dot-_JM?searchVariation=37527543135,81,17,5,0,1,#451628815,Negro mate,"S-S,L-L,XL-XL,M-M,S-M,S-L,S-XL,M-XL,L-XL,ML",ICH,3110,Rebatible,1000 g,NA,NA
3, 2 Cascos Moto Ich Certificados Integral Dot Gratis Placas ,199.9,279.9,149,56,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,4.8,12,https://perfil.mercadolibre.com.co/LUJOACCESORIOS,https://articulo.mercadolibre.com.co/MCO-446507047-2-cascos-moto-ich-certificados-integral-dot-gratis-placas-_JM?searchVariation=40421912606,10,2,0,0,0,#446507047,Negro mate,"L-L,L-M,L-XL,M-XL,XL-XL,M-M",ich,503,Integral,1000 g,NA,NA
4, Casco Ich Abatible 3110 Certificado Norma Dot Gratis Placas ,109.9,159.9,461,30,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,4.7,46,https://perfil.mercadolibre.com.co/LUJOACCESORIOS,https://articulo.mercadolibre.com.co/MCO-451861202-casco-ich-abatible-3110-certificado-norma-dot-gratis-placas-_JM?searchVariation=21094453672,34,9,3,0,0,#451861202,"Rojo,Amarillo neón,Azul,Fucsia,Gris,Naranja,Negro,Rojo,Verde,verde policia","S,M,L,XL",ICH,3110,Rebatible,1000 g,NA,NA
5, Casco Ich Abatible 3110 Certificado Dot Eliminador De Olor ,114.9,169.9,95,64,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,5,1,https://perfil.mercadolibre.com.co/LUJOACCESORIOS,https://articulo.mercadolibre.com.co/MCO-446506027-casco-ich-abatible-3110-certificado-dot-eliminador-de-olor-_JM?searchVariation=25698736423,1,0,0,0,0,#446506027,Azul,"S,M,L,XL",ICH,3110,Integral,1000 g,NA,NA
6, Casco Moto Abatible Certificado Ich Dot Gratis Placas ,99.9,149.9,579,372,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,4.6,65,https://perfil.mercadolibre.com.co/LUJOACCESORIOS,https://articulo.mercadolibre.com.co/MCO-452034081-casco-moto-abatible-certificado-ich-dot-gratis-placas-_JM?searchVariation=39382201338,47,12,4,1,1,#452034081,Negro mate,"S,M,L,XL",ICH,3110,Rebatible,1000 g,NA,NA
7, Casco Ich Abatible Doble Visor Certificado Placas ,99.9,149.9,157,384,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,4.7,14,https://perfil.mercadolibre.com.co/LUJOACCESORIOS,https://articulo.mercadolibre.com.co/MCO-452437042-casco-ich-abatible-doble-visor-certificado-placas-_JM?searchVariation=23233326269,10,4,0,0,0,#452437042,Negro,"S,M,L,XL",ICH,3110,Rebatible,1000 g,NA,NA
8, Casco Kontrol Certificado Alamo Tipo Mt Icon Shaft Agv Ich ,139.5,NA,29,89,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,4,1,https://perfil.mercadolibre.com.co/IMCOVALLE+SAS,https://articulo.mercadolibre.com.co/MCO-509802204-casco-kontrol-certificado-alamo-tipo-mt-icon-shaft-agv-ich-_JM?searchVariation=35428045017,0,1,0,0,0,#509802204,Negro mate,"TALLA L,M",KONTROL,Álamo,Integral,NA,NA,NA
9, Casco Moto Ich Certificado Dot Guantes Chaleco Gratis ,139.9,179.9,149,104,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,4.7,10,https://perfil.mercadolibre.com.co/LUJOACCESORIOS,https://articulo.mercadolibre.com.co/MCO-451860693-casco-moto-ich-certificado-dot-guantes-chaleco-gratis-_JM?searchVariation=21096322764,8,1,1,0,0,#451860693,Negro,"S,M,L,XL",ICH,3110,Rebatible,1000 g,NA,NA
10, Casco Moto Integral Mt Targo Certificado Europeo Ece - As ,279.99,340,93,10,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,4.9,13,https://perfil.mercadolibre.com.co/ADRIAN%60S+STORE,https://articulo.mercadolibre.com.co/MCO-462871593-casco-moto-integral-mt-targo-certificado-europeo-ece-as-_JM?searchVariation=32912015146,12,1,0,0,0,#462871593,Negro mate/Rojo,NA,MT,TARGO,Integral,NA,NA,NA
