search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Modelo,Tipo de casco,Línea
1, Intercomunicador Bluetooth Para Casco De Motocicleta ,175,NA,"
			
				Nuevo
			
			
				
					 - 
				
				22
				vendidos
			
		",(10 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/MERCOMAX+SAC,https://articulo.mercadolibre.com.pe/MPE-431325039-intercomunicador-bluetooth-para-casco-de-motocicleta-_JM,NA,NA,NA,NA,NA,#431325039,NA,NA,NA,NA
2, Casco Moto Abatible Hgv Certificado + Bolso ,159,NA,"
			
				Nuevo
			
			
				
					 - 
				
				5
				vendidos
			
		",(295 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/FUNDASYCOBERTORESPERU,https://articulo.mercadolibre.com.pe/MPE-435205463-casco-moto-abatible-hgv-certificado-bolso-_JM,NA,NA,NA,NA,NA,#435205463,NA,NA,NA,NA
3, Casco Ces Moto Certificacion Dot Integral Negro Mate ,159,NA,"
			
				Nuevo
			
			
				
					 - 
				
				7
				vendidos
			
		",(4 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/FULLMOTOSPERU,https://articulo.mercadolibre.com.pe/MPE-435174325-casco-ces-moto-certificacion-dot-integral-negro-mate-_JM,NA,NA,NA,NA,NA,#435174325,NA,NA,NA,NA
4, Casco De Moto Económico Modelo Color Entero Negro ,60,NA,"
			
				Nuevo
			
			
				
					 - 
				
				11
				vendidos
			
		",(2 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/ESE+QUIERO,https://articulo.mercadolibre.com.pe/MPE-436152797-casco-de-moto-economico-modelo-color-entero-negro-_JM,NA,NA,NA,NA,NA,#436152797,NA,NA,NA,NA
5, Casco De Moto Cross Negro Mate ,140,NA,"
			
				Nuevo
			
			
				
					 - 
				
				14
				vendidos
			
		",(2 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/ESE+QUIERO,https://articulo.mercadolibre.com.pe/MPE-431865227-casco-de-moto-cross-negro-mate-_JM,NA,NA,NA,NA,NA,#431865227,NA,NA,NA,NA
6, Casco Moto Negro Hgv Certificado + Abatible+bolso ,159,NA,"
			
				Nuevo
			
			
				
					 - 
				
				39
				vendidos
			
		",(298 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,1.0,1,http://perfil.mercadolibre.com.pe/FUNDASYCOBERTORESPERU,https://articulo.mercadolibre.com.pe/MPE-432617110-casco-moto-negro-hgv-certificado-abatiblebolso-_JM,NA,NA,NA,NA,NA,#432617110,NA,NA,NA,NA
7, Casco Para Motos Articulados ,130,NA,"
			
				Nuevo
			
			
				
					 - 
				
				4
				vendidos
			
		","
		
			¡Último disponible!
		
	",NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/ESE+QUIERO,https://articulo.mercadolibre.com.pe/MPE-435034835-casco-para-motos-articulados-_JM,NA,NA,NA,NA,NA,#435034835,NA,NA,NA,NA
8, Cascos Ym-329 Para Moto Y Bicicleta Certificado ,59,NA,"
			
				Nuevo
			
			
				
					 - 
				
				4
				vendidos
			
		",(6 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/TECH-COOL,https://articulo.mercadolibre.com.pe/MPE-435404383-cascos-ym-329-para-moto-y-bicicleta-certificado-_JM,NA,NA,NA,NA,NA,#435404383,NA,NA,NA,NA
9, Casco De Moto Articulado Abatible Negro Mate Nuevos De Stok ,135,NA,"
			
				Nuevo
			
			
				
					 - 
				
				28
				vendidos
			
		",(3 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,5.0,2,http://perfil.mercadolibre.com.pe/ESE+QUIERO,https://articulo.mercadolibre.com.pe/MPE-426041940-casco-de-moto-articulado-abatible-negro-mate-nuevos-de-stok-_JM?searchVariation=40455808756,NA,NA,NA,NA,NA,#426041940,FG+7,FG+7,Rebatible,NA
10, Casco D Moto Aleman Vintage Motocicleta Proteccion Seguridad ,49,NA,"
			
				Nuevo
			
			
				
					 - 
				
				50
				vendidos
			
		",(9984 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/ZOYUO,https://articulo.mercadolibre.com.pe/MPE-430189064-casco-d-moto-aleman-vintage-motocicleta-proteccion-seguridad-_JM,NA,NA,NA,NA,NA,#430189064,NA,NA,NA,NA
11, Casco De Moto Modelo Integral Color Negro Mate ,80,NA,"
			
				Nuevo
			
			
				
					 - 
				
				5
				vendidos
			
		",(2 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/ESE+QUIERO,https://articulo.mercadolibre.com.pe/MPE-435035720-casco-de-moto-modelo-integral-color-negro-mate-_JM,NA,NA,NA,NA,NA,#435035720,NA,NA,NA,NA
12, Casco De Moto Negro Mate Con Visor Para Moto ,55,NA,"
			
				Nuevo
			
			
				
					 - 
				
				16
				vendidos
			
		",(2 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/ESE+QUIERO,https://articulo.mercadolibre.com.pe/MPE-430195534-casco-de-moto-negro-mate-con-visor-para-moto-_JM,NA,NA,NA,NA,NA,#430195534,NA,NA,NA,NA
13, Casco De Moto Tipo Policia Choper Con Visor ,55,NA,"
			
				Nuevo
			
			
				
					 - 
				
				39
				vendidos
			
		",(3 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,5.0,1,http://perfil.mercadolibre.com.pe/ESE+QUIERO,https://articulo.mercadolibre.com.pe/MPE-422140438-casco-de-moto-tipo-policia-choper-con-visor-_JM,NA,NA,NA,NA,NA,#422140438,NA,NA,NA,NA
14, Lentes Gafas De Motocicleta Bjmoto Envío Internacional! ,119,NA,"
			
				Nuevo
			
			
				
					 - 
				
				7
				vendidos
			
		",(60 disponibles),NA,NA,NA,Envío gratis a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/PKIMPORTS+TIENDAVIRTUAL,https://articulo.mercadolibre.com.pe/MPE-429018866-lentes-gafas-de-motocicleta-bjmoto-envio-internacional-_JM,NA,NA,NA,NA,NA,#429018866,NA,NA,NA,NA
15, Casco De Moto Articulado Para Mujer Mothza ,140,NA,"
			
				Nuevo
			
			
				
					 - 
				
				2
				vendidos
			
		",(2 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/ESE+QUIERO,https://articulo.mercadolibre.com.pe/MPE-436509833-casco-de-moto-articulado-para-mujer-mothza-_JM,NA,NA,NA,NA,NA,#436509833,NA,NA,NA,NA
16," Cascos Ym-629 Moto O Bicicleta, Certificado ",150,NA,"
			
				Nuevo
			
			
				
					 - 
				
				6
				vendidos
			
		",(14 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,4.0,1,http://perfil.mercadolibre.com.pe/TECH-COOL,https://articulo.mercadolibre.com.pe/MPE-435405644-cascos-ym-629-moto-o-bicicleta-certificado-_JM,NA,NA,NA,NA,NA,#435405644,NA,NA,NA,NA
17, Casco De Moto Negro Mate Milano ,85,NA,"
			
				Nuevo
			
			
				
					 - 
				
				4
				vendidos
			
		",(4 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/ESE+QUIERO,https://articulo.mercadolibre.com.pe/MPE-432233726-casco-de-moto-negro-mate-milano-_JM,NA,NA,NA,NA,NA,#432233726,NA,NA,NA,NA
18, Casco De Moto Turquesa Para Niña De 5 A 12 Años. (visa) ,50,NA,"
			
				Nuevo
			
			
				
					 - 
				
				2
				vendidos
			
		",(3 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/ESE+QUIERO,https://articulo.mercadolibre.com.pe/MPE-432869306-casco-de-moto-turquesa-para-nina-de-5-a-12-anos-visa-_JM,NA,NA,NA,NA,NA,#432869306,NA,NA,NA,NA
19, Casco De Moto Chopers Premium Correa De Cuero ,120,NA,"
			
				Nuevo
			
			
				
					 - 
				
				2
				vendidos
			
		","
		
			¡Último disponible!
		
	",NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/ESE+QUIERO,https://articulo.mercadolibre.com.pe/MPE-428800058-casco-de-moto-chopers-premium-correa-de-cuero-_JM,NA,NA,NA,NA,NA,#428800058,NA,NA,NA,NA
20, Casco Moto Ces Integral Certificado Negro Con Rojo ,149,NA,"
			
				Nuevo
			
			
				
					 - 
				
				2
				vendidos
			
		",(8 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/FULLMOTOSPERU,https://articulo.mercadolibre.com.pe/MPE-435401458-casco-moto-ces-integral-certificado-negro-con-rojo-_JM,NA,NA,NA,NA,NA,#435401458,NA,NA,NA,NA
21, Casco De Moto Diablito Compacto Integral ,70,NA,"
			
				Nuevo
			
			
				
					 - 
				
				2
				vendidos
			
		",(2 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/ESE+QUIERO,https://articulo.mercadolibre.com.pe/MPE-435035827-casco-de-moto-diablito-compacto-integral-_JM,NA,NA,NA,NA,NA,#435035827,NA,NA,NA,NA
