seller_name,link,time_operating,units_of_time_operating,amt_sold,leader_status,top_descriptor1,top_descriptor2,num_reviews,num_neg_reviews,num_neutral_reviews,num_pos_reviews,location,timeframe_of_amt_sold
PASAJECENTRALSAC,http://perfil.mercadolibre.com.pe/PASAJECENTRALSAC,1,1 año vendiendo en Mercado Libre,1150,MercadoLíder Gold¡Está entre los mejores del sitio!,NA,NA,673,Negativa (0),Neutral (2),Positiva (671),"Lima, Lima.",NA
JAPIMPORTA,http://perfil.mercadolibre.com.pe/JAPIMPORTA,7,7 años vendiendo en Mercado Libre,1737,MercadoLíder Gold¡Está entre los mejores del sitio!,NA,NA,1060,Negativa (3),Neutral (34),Positiva (1023),"Lima, Lima.",NA
GLOBAL CELS,http://perfil.mercadolibre.com.pe/GLOBAL+CELS,6,6 años vendiendo en Mercado Libre,2419,MercadoLíder Gold¡Está entre los mejores del sitio!,NA,NA,1388,Negativa (5),Neutral (41),Positiva (1342),"Lima, Lima.",NA
CSHOP1,http://perfil.mercadolibre.com.pe/CSHOP1,12,12 años vendiendo en Mercado Libre,653,NA,NA,NA,418,Negativa (0),Neutral (3),Positiva (415),"Lima, Lima.",NA
CASEMOTIONS.PE,http://perfil.mercadolibre.com.pe/CASEMOTIONS.PE,4,4 años vendiendo en Mercado Libre,4370,MercadoLíder Gold¡Está entre los mejores del sitio!,NA,NA,2610,Negativa (0),Neutral (14),Positiva (2596),"Lima, Lima.",NA
HAPPYSHOPVENTAS,http://perfil.mercadolibre.com.pe/HAPPYSHOPVENTAS,4,4 años vendiendo en Mercado Libre,1498,NA,NA,NA,611,Negativa (9),Neutral (36),Positiva (566),"Lima, Lima.",NA
GHINEXS,http://perfil.mercadolibre.com.pe/GHINEXS,7,7 años vendiendo en Mercado Libre,8,NA,NA,NA,32,Negativa (1),Neutral (8),Positiva (23),"Lima, Lima.",NA
TIENDAEXPRESS.PE,http://perfil.mercadolibre.com.pe/TIENDAEXPRESS.PE,2,2 años vendiendo en Mercado Libre,636,NA,NA,NA,369,Negativa (0),Neutral (0),Positiva (369),"Lima, Lima.",NA
MALUPHONE,http://perfil.mercadolibre.com.pe/MALUPHONE,3,3 años vendiendo en Mercado Libre,839,NA,NA,NA,559,Negativa (1),Neutral (1),Positiva (557),"Lima, Lima.",NA
RODRI STORE01,http://perfil.mercadolibre.com.pe/RODRI+STORE01,11,11 meses vendiendo en Mercado Libre,409,MercadoLíder¡Está entre los mejores del sitio!,NA,NA,199,Negativa (0),Neutral (1),Positiva (198),"Lima, Lima.",NA
ALBERTOPP75,http://perfil.mercadolibre.com.pe/ALBERTOPP75,10,10 años vendiendo en Mercado Libre,537,NA,NA,NA,311,Negativa (2),Neutral (9),Positiva (300),"Piura, Piura.",NA
ZONAMOVILPERU1,http://perfil.mercadolibre.com.pe/ZONAMOVILPERU1,1,1 año vendiendo en Mercado Libre,664,MercadoLíder¡Está entre los mejores del sitio!,NA,NA,434,Negativa (2),Neutral (8),Positiva (424),"Lima, Lima.",NA
SERGIOAMARANTOPEREA,http://perfil.mercadolibre.com.pe/SERGIOAMARANTOPEREA,5,5 años vendiendo en Mercado Libre,22,NA,NA,NA,9,Negativa (0),Neutral (2),Positiva (7),"Lima, Lima.",NA
MERKA.G,http://perfil.mercadolibre.com.pe/MERKA.G,2,2 años vendiendo en Mercado Libre,655,NA,NA,NA,445,Negativa (0),Neutral (2),Positiva (443),"Lima, Lima.",NA
DASTOREPUNTOPE,http://perfil.mercadolibre.com.pe/DASTOREPUNTOPE,5,5 años vendiendo en Mercado Libre,3871,NA,NA,NA,1947,Negativa (10),Neutral (126),Positiva (1811),"Lima, Lima.",NA
LAGRAN_VENTANA,http://perfil.mercadolibre.com.pe/LAGRAN_VENTANA,7,7 años vendiendo en Mercado Libre,3356,MercadoLíder¡Está entre los mejores del sitio!,NA,NA,1578,Negativa (11),Neutral (86),Positiva (1481),"Lima, Lima.",NA
BTPERU_VENTAS,http://perfil.mercadolibre.com.pe/BTPERU_VENTAS,13,13 años vendiendo en Mercado Libre,16843,MercadoLíder Gold¡Está entre los mejores del sitio!,NA,NA,23110,Negativa (359),Neutral (3509),Positiva (19242),"Lima, Lima.",NA
MAOMATACASTILLO,http://perfil.mercadolibre.com.pe/MAOMATACASTILLO,6,6 años vendiendo en Mercado Libre,219,NA,NA,NA,100,Negativa (2),Neutral (6),Positiva (92),"Lima, Lima.",NA
JOHNEDWARDROJASMOZOMBITE,http://perfil.mercadolibre.com.pe/JOHNEDWARDROJASMOZOMBITE,1,1 año vendiendo en Mercado Libre,114,NA,NA,NA,37,Negativa (1),Neutral (3),Positiva (33),"Lima, Lima.",NA
SABO520433,http://perfil.mercadolibre.com.pe/SABO520433,2,2 años vendiendo en Mercado Libre,116,NA,NA,NA,86,Negativa (0),Neutral (5),Positiva (81),"Lima, Lima.",NA
AZTILEYRODRIGUEZ,http://perfil.mercadolibre.com.pe/AZTILEYRODRIGUEZ,10,10 meses vendiendo en Mercado Libre,20,NA,NA,NA,17,Negativa (0),Neutral (0),Positiva (17),"Lima, Lima.",NA
YAJOMATECH,http://perfil.mercadolibre.com.pe/YAJOMATECH,3,3 años vendiendo en Mercado Libre,309,NA,NA,NA,160,Negativa (0),Neutral (4),Positiva (156),"Lima, Lima.",NA
MOBITECH.PE,http://perfil.mercadolibre.com.pe/MOBITECH.PE,5,5 años vendiendo en Mercado Libre,316,MercadoLíder¡Está entre los mejores del sitio!,NA,NA,238,Negativa (4),Neutral (9),Positiva (225),"Lima, Lima.",NA
TEVEN255,http://perfil.mercadolibre.com.pe/TEVEN255,4,4 años vendiendo en Mercado Libre,831,NA,NA,NA,509,Negativa (0),Neutral (6),Positiva (503),"Lima, Lima.",NA
ASMOBILEACCESORIES,http://perfil.mercadolibre.com.pe/ASMOBILEACCESORIES,3,3 años vendiendo en Mercado Libre,899,NA,NA,NA,488,Negativa (1),Neutral (16),Positiva (471),"Lima, Lima.",NA
REVOLUTION.STAR,http://perfil.mercadolibre.com.pe/REVOLUTION.STAR,4,4 años vendiendo en Mercado Libre,387,NA,NA,NA,265,Negativa (3),Neutral (15),Positiva (247),"Lima, Lima.",NA
MACMELLOWMIRAFLORES,http://perfil.mercadolibre.com.pe/MACMELLOWMIRAFLORES,7,7 años vendiendo en Mercado Libre,1330,MercadoLíder¡Está entre los mejores del sitio!,NA,NA,1572,Negativa (48),Neutral (228),Positiva (1296),"Lima, Lima.",NA
DETALLESMYAPE,http://perfil.mercadolibre.com.pe/DETALLESMYAPE,6,6 años vendiendo en Mercado Libre,1799,NA,NA,NA,549,Negativa (7),Neutral (42),Positiva (500),"Lima, Lima.",NA
JARRIETAA,http://perfil.mercadolibre.com.pe/JARRIETAA,7,7 años vendiendo en Mercado Libre,166,NA,NA,NA,140,Negativa (1),Neutral (5),Positiva (134),"Lima, Lima.",NA
DASTORE PERU,http://perfil.mercadolibre.com.pe/DASTORE+PERU,9,9 años vendiendo en Mercado Libre,112,NA,NA,NA,74,Negativa (0),Neutral (10),Positiva (64),"Lima, Lima.",NA
