value,units_of_time_operating,units_timeframe_of_amt_sold,shipping,free_return,free_return_info
1,años,años,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís
2,meses,meses,Retiro gratis en local de Megatone,,"Si no te gusta o no te queda bien, devuélvelo."
3,días,días,Llega mañana,,
4,,,Envío a todo el país,,
5,,,Envío gratis,,
6,,,Envío gratis a todo el país,,
7,,,Retiro gratis en local de Ribeiro,,
8,,,Retiro gratis en local de Compumundo,,
9,,,Retiro gratis en local del vendedor,,
10,,,Retiro gratis en local de Frávega,,
11,,,Entrega a acordar con el vendedor,,
12,,,Chegará amanhã,,
13,,,Llega gratis el martes,,
14,,,Retiro gratis en tienda de Geant,,
