search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Modelo
1, Cortabarba Y Cortacabello Philips Mg3730/15 Kit 8 En 1 ,44,55,519,NA,18 cuotas,90.35,NA,Envío a todo el país,NA,NA,4.9,19,http://perfil.mercadolibre.com.uy/PHILIPS_TIENDAOFICIAL?brandId=173,https://articulo.mercadolibre.com.uy/MLU-460600506-cortabarba-y-cortacabello-philips-mg373015-kit-8-en-1-_JM,18,1,0,0,0,#460600506,Philips,MG3730/15
2, Afeitadora Corporal Masculina Philips Apta Ducha Bg3005/15 ,50,59,135,13,18 cuotas,102.67,NA,Envío a todo el país,NA,NA,4.6,11,http://perfil.mercadolibre.com.uy/PHILIPS_TIENDAOFICIAL?brandId=173,https://articulo.mercadolibre.com.uy/MLU-458232589-afeitadora-corporal-masculina-philips-apta-ducha-bg300515-_JM,8,2,1,0,0,#458232589,NA,NA
3, Afeitadora De Hombre Recargable Barba Bigote Mvdsport ,455,499,107,46,18 cuotas,25.28,NA,Envío a todo el país,NA,NA,4,10,http://perfil.mercadolibre.com.uy/MVDSPORT,https://articulo.mercadolibre.com.uy/MLU-445033896-afeitadora-de-hombre-recargable-barba-bigote-mvdsport-_JM,5,3,0,1,1,#445033896,NA,NA
4, Afeitadora Corporal Masculina Philips Bg105/11 Bodygroom ,29,35,277,6,18 cuotas,59.55,NA,Envío a todo el país,NA,NA,4.6,27,http://perfil.mercadolibre.com.uy/PHILIPS_TIENDAOFICIAL?brandId=173,https://articulo.mercadolibre.com.uy/MLU-444401711-afeitadora-corporal-masculina-philips-bg10511-bodygroom-_JM,18,8,0,0,1,#444401711,NA,NA
5, Afeitadora Electrica Philips S5070/04 Ideal Piel Sensible ,118,139,91,11,18 cuotas,242.29,NA,Envío a todo el país,NA,NA,4.9,17,http://perfil.mercadolibre.com.uy/PHILIPS_TIENDAOFICIAL?brandId=173,https://articulo.mercadolibre.com.uy/MLU-449012315-afeitadora-electrica-philips-s507004-ideal-piel-sensible-_JM,16,1,0,0,0,#449012315,Philips,S5070/04
6, Afeitadora Philips Mg5730 11 En 1 Rostro Cabello Cuerpo Loi ,62,79,41,2956,18 cuotas,129.34,NA,Envío a todo el país,NA,NA,5,1,http://perfil.mercadolibre.com.uy/LOI+URUGUAY?brandId=638,https://articulo.mercadolibre.com.uy/MLU-461181873-afeitadora-philips-mg5730-11-en-1-rostro-cabello-cuerpo-loi-_JM,1,0,0,0,0,#461181873,NA,NA
7, Rasuradora Afeitadora Electrica Corporal Y Corta Pelo Barba ,349,NA,24,64,18 cuotas,19.39,NA,Envío a todo el país,NA,NA,4,2,http://perfil.mercadolibre.com.uy/TODO+ACA,https://articulo.mercadolibre.com.uy/MLU-458259418-rasuradora-afeitadora-electrica-corporal-y-corta-pelo-barba-_JM,0,2,0,0,0,#458259418,Nova,NA
8, Afeitadora Recargable Philips Uso En Seco Y Humedo S1030 ,55,65,110,20,18 cuotas,112.93,NA,Envío a todo el país,NA,NA,4.7,16,http://perfil.mercadolibre.com.uy/PHILIPS_TIENDAOFICIAL?brandId=173,https://articulo.mercadolibre.com.uy/MLU-444960118-afeitadora-recargable-philips-uso-en-seco-y-humedo-s1030-_JM,11,5,0,0,0,#444960118,NA,NA
9, Afeitadora Eléctrica Resistente Al Agua Punktal Pk-ms733 Oy ,38,NA,135,23,18 cuotas,80.06,NA,Envío a todo el país,NA,NA,4.6,26,http://perfil.mercadolibre.com.uy/OFERTAYA+UY,https://articulo.mercadolibre.com.uy/MLU-448668993-afeitadora-electrica-resistente-al-agua-punktal-pk-ms733-oy-_JM,17,7,2,0,0,#448668993,NA,NA
10, Rasuradora Afeitadora Electrica Maquina Afeitar + Accesorios ,449,NA,12,48,18 cuotas,24.94,NA,Envío a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/TODO+ACA,https://articulo.mercadolibre.com.uy/MLU-458259395-rasuradora-afeitadora-electrica-maquina-afeitar-accesorios-_JM,NA,NA,NA,NA,NA,#458259395,Nova,NA
11, Afeitadora Electrica Philips Recargabable 5070 Patilla Dimm ,117,NA,55,96,18 cuotas,240.24,NA,Envío a todo el país,NA,NA,4.9,12,http://perfil.mercadolibre.com.uy/FUTUROXXI+DIMM,https://articulo.mercadolibre.com.uy/MLU-448370701-afeitadora-electrica-philips-recargabable-5070-patilla-dimm-_JM,11,1,0,0,0,#448370701,NA,NA
12, Afeitadora Eléctrica Philips S1030 Recarg Húmedo O Seco Loi ,47,79,27,2970,18 cuotas,96.51,NA,Envío a todo el país,NA,NA,4.5,2,http://perfil.mercadolibre.com.uy/LOI+URUGUAY?brandId=638,https://articulo.mercadolibre.com.uy/MLU-461182818-afeitadora-electrica-philips-s1030-recarg-humedo-o-seco-loi-_JM,1,1,0,0,0,#461182818,NA,NA
13, Afeitadora Inalambrica Uso Seco O Humedo Philips 1030 Dimm ,55,NA,107,97,18 cuotas,112.93,NA,Envío a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/FUTUROXXI+DIMM,https://articulo.mercadolibre.com.uy/MLU-464681320-afeitadora-inalambrica-uso-seco-o-humedo-philips-1030-dimm-_JM,NA,NA,NA,NA,NA,#464681320,NA,NA
