search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca
1, Corta Pelo Eléctrico Afeitador Cabello Maquina Rasurador ,34,NA,"
			
				Nuevo
			
			
				
					 - 
				
				7
				vendidos
			
		",(93 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/ITELSISTEMSAC,https://articulo.mercadolibre.com.pe/MPE-434417646-corta-pelo-electrico-afeitador-cabello-maquina-rasurador-_JM,NA,NA,NA,NA,NA,#434417646,NA
2, Afeitador Led Recargable Eléctrico Maquina Afeitar Rasurador ,59,NA,"
			
				Nuevo
			
			
				
					 - 
				
				11
				vendidos
			
		",(445 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/VMC+SOLUCIONES,https://articulo.mercadolibre.com.pe/MPE-433228693-afeitador-led-recargable-electrico-maquina-afeitar-rasurador-_JM,NA,NA,NA,NA,NA,#433228693,NA
3, Maquina Cortador Eléctrico Kemei Afeitador Rasurador Barba ,129,NA,"
			
				Nuevo
			
			
				
					 - 
				
				8
				vendidos
			
		",(2 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/IMPORTACIONES+FLYTEC,https://articulo.mercadolibre.com.pe/MPE-427374973-maquina-cortador-electrico-kemei-afeitador-rasurador-barba-_JM,NA,NA,NA,NA,NA,#427374973,Kemei
4, Maquina Afeitar Rasuradora Afeitador Recargable Eléctrico ,58,NA,"
			
				Nuevo
			
			
				
					 - 
				
				4
				vendidos
			
		",(341 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/VMC+NETWORKS,https://articulo.mercadolibre.com.pe/MPE-433228709-maquina-afeitar-rasuradora-afeitador-recargable-electrico-_JM,NA,NA,NA,NA,NA,#433228709,NA
5," Maquina De Afeitar Remington F2-3800l, Afeitadora Electrica ",215,NA,"
			
				Nuevo
			
			
		",(12 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/NEGOCIOS+DANTE1920,https://articulo.mercadolibre.com.pe/MPE-436105549-maquina-de-afeitar-remington-f2-3800l-afeitadora-electrica-_JM,NA,NA,NA,NA,NA,#436105549,Remington
6, Depilador Flawless Electrico Rasurador Vello Facial Con Led ,23,NA,"
			
				Nuevo
			
			
				
					 - 
				
				14
				vendidos
			
		",(36 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,3.0,1,http://perfil.mercadolibre.com.pe/GALY+IMPORT,https://articulo.mercadolibre.com.pe/MPE-436589971-depilador-flawless-electrico-rasurador-vello-facial-con-led-_JM,NA,NA,NA,NA,NA,#436589971,NA
7, Afeitador Rasurador Eléctrico Ruiying ,40,NA,"
			
				Nuevo
			
			
				
					 - 
				
				2
				vendidos
			
		",(11 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/DECOMPRAS50.COM,https://articulo.mercadolibre.com.pe/MPE-432277332-afeitador-rasurador-electrico-ruiying-_JM,NA,NA,NA,NA,NA,#432277332,NA
8, Afeitadora Eléctrica Aquatouch Philips S1030 ,240,NA,"
			
				Nuevo
			
			
		","
		
			¡Único disponible!
		
	",NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/VENTASONLINEFREDY.COM,https://articulo.mercadolibre.com.pe/MPE-435701864-afeitadora-electrica-aquatouch-philips-s1030-_JM,NA,NA,NA,NA,NA,#435701864,NA
9, Maquina De Cortar Cabello Pelo Wahl Eléctrico 10pz Rasurador ,99,NA,"
			
				Nuevo
			
			
		",(20 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/IMPORTACIONESMYJASOCIADOS,https://articulo.mercadolibre.com.pe/MPE-435407165-maquina-de-cortar-cabello-pelo-wahl-electrico-10pz-rasurador-_JM,NA,NA,NA,NA,NA,#435407165,Wahl
10, Depilador Femenino Electrico Rasurador Vello Facial Led ,23,NA,"
			
				Nuevo
			
			
				
					 - 
				
				9
				vendidos
			
		",(984 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,1.0,2,http://perfil.mercadolibre.com.pe/VMC+NETWORKS,https://articulo.mercadolibre.com.pe/MPE-432940699-depilador-femenino-electrico-rasurador-vello-facial-led-_JM,NA,NA,NA,NA,NA,#432940699,NA
11, Maquina De Cortar Cabello Wahl Eléctrico Afeitador Rasurador ,99,NA,"
			
				Nuevo
			
			
				
					 - 
				
				4
				vendidos
			
		",(38 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/IMPORTACIONES+LAKSHMI,https://articulo.mercadolibre.com.pe/MPE-428174982-maquina-de-cortar-cabello-wahl-electrico-afeitador-rasurador-_JM,NA,NA,NA,NA,NA,#428174982,Wahl
12, Depilador Flawless Electrico Rasurador Vello Facial Con Led ,24,NA,"
			
				Nuevo
			
			
				
					 - 
				
				5
				vendidos
			
		",(5 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/PACHERRESJUAN,https://articulo.mercadolibre.com.pe/MPE-436594364-depilador-flawless-electrico-rasurador-vello-facial-con-led-_JM,NA,NA,NA,NA,NA,#436594364,NA
