search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,color,size,Marca,Línea,Modelo,Tipo de casco,Género,Peso,Tipo,Color
1,Casco Moto Ls2 Ff324 Abatible Metro Evo Blanco,129.99,NA,30,9,12,10.832,NA,Envío gratis a todo el país,NA,NA,5,2,https://perfil.mercadolibre.cl/MOTOXTREME.CL?brandId=329,https://articulo.mercadolibre.cl/MLC-466453148-casco-moto-ls2-ff324-abatible-metro-evo-blanco-_JM,2,0,0,0,0,#466453148,"L,XXL",NA,LS2,EVO,FF324 METRO,Rebatible,Unisex,NA,NA,NA
2,Casco Moto Ls2 Ff352 Negro Matte,52.99,NA,147,20,12,4.416,NA,Envío gratis a todo el país,NA,NA,3.6,5,https://perfil.mercadolibre.cl/MOTOXTREME.CL?brandId=329,https://articulo.mercadolibre.cl/MLC-461026560-casco-moto-ls2-ff352-negro-matte-_JM,1,1,3,0,0,#461026560,"XS,S,M,L,XL,XXL",NA,LS2,NEGRO MATTE,FF352 ROOKIE,Integral,Unisex,1350 g,NA,NA
3,Casco Moto 4rs 168 Sun Visor Certificado Dot Abatible Flipup,44.99,NA,286,244,6,7.498,NA,Envío gratis a todo el país,NA,NA,4.5,21,https://perfil.mercadolibre.cl/OXS+ACCESORIOS,https://articulo.mercadolibre.cl/MLC-438976101-casco-moto-4rs-168-sun-visor-certificado-dot-abatible-flipup-_JM,15,3,2,1,0,#438976101,Negro opaco,"XS,S,M,L,XL",4RS,NA,168,Rebatible,NA,1450 g,NA,NA
4,Casco Moto Armad 710 Jet Negro Mate Certificado Ecer2205,45.99,NA,18,32,6,7.665,NA,Envío gratis a todo el país,NA,NA,5,1,https://perfil.mercadolibre.cl/OXS+ACCESORIOS,https://articulo.mercadolibre.cl/MLC-440632933-casco-moto-armad-710-jet-negro-mate-certificado-ecer2205-_JM,1,0,0,0,0,#440632933,"S,M,L,XL",NA,ARMAD,NA,710,Abierto,NA,NA,NA,NA
5,Casco Moto Oneal Challenger Crank N +lente Interior+pinlock,89.99,NA,31,13,12,7.499,NA,Envío gratis a todo el país,NA,NA,5,1,https://perfil.mercadolibre.cl/REBELSPORTS.CL,https://articulo.mercadolibre.cl/MLC-478913019-casco-moto-oneal-challenger-crank-n-lente-interiorpinlock-_JM?searchVariation=33417105645,1,0,0,0,0,#478913019,Negro,"S,L",O'Neal,Challenger,Crank,Integral,NA,NA,NA,NA
6,Casco Abierto Moto Dot Casco De Moto,10.99,NA,9,91,12,916,NA,Envío a todo el país,NA,NA,4,1,https://perfil.mercadolibre.cl/MULTISHOPVIRTUAL23,https://articulo.mercadolibre.cl/MLC-490307697-casco-abierto-moto-dot-casco-de-moto-_JM,0,1,0,0,0,#490307697,Negro,standar,HLN,NA,Clásico,Abierto,NA,NA,NA,NA
7,Casco Moto Tipo Depredador Certificado Dot Con Luz,199.99,NA,52,2,6,33.332,NA,Envío gratis a todo el país,NA,NA,4.8,6,https://perfil.mercadolibre.cl/OXS+ACCESORIOS,https://articulo.mercadolibre.cl/MLC-439930838-casco-moto-tipo-depredador-certificado-dot-con-luz-_JM,5,1,0,0,0,#439930838,NA,M,NA,NA,Depredador,Integral,NA,1890 g,NA,NA
8,Casco Moto Ls2 Ff324 Abatible Metro Evo Amarillo,129.99,NA,43,12,12,10.832,NA,Envío gratis a todo el país,NA,NA,5,2,https://perfil.mercadolibre.cl/MOTOXTREME.CL?brandId=329,https://articulo.mercadolibre.cl/MLC-464711147-casco-moto-ls2-ff324-abatible-metro-evo-amarillo-_JM,2,0,0,0,0,#464711147,Amarillo,"M,L,XL,XXL",LS2,NA,FF324 METRO EVO,Rebatible,Unisex,0.165 g,NA,NA
9,Casco Moto Abierto 4rs 537 Con Visor Certificado Dot Scooter,14.99,19.99,94,18,6,2.498,NA,Envío a todo el país,NA,NA,4.6,12,https://perfil.mercadolibre.cl/OXS+ACCESORIOS,https://articulo.mercadolibre.cl/MLC-442752257-casco-moto-abierto-4rs-537-con-visor-certificado-dot-scooter-_JM,8,3,1,0,0,#442752257,NA,XL,4RS,NA,537 STAR,Abierto,NA,940 g,NA,NA
10,Casco Moto Shoei X-spirit 3 Marquez Motegi 2 Tc1,649.99,NA,2,5,6,108.332,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/YAMAHA+OFICIAL?brandId=146,https://articulo.mercadolibre.cl/MLC-461163067-casco-moto-shoei-x-spirit-3-marquez-motegi-2-tc1-_JM?searchVariation=24694949950,NA,NA,NA,NA,NA,#461163067,TC-1,"L,M,S,XL,S,M,L,XL",Shoei,NA,X-Spirit III,Integral,NA,NA,NA,NA
