search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Modelo
1, Afeitadora Eléctrica Trimmer Elimina Vello Nariz Oreja Alizz ,19.900,39.800,"
			
			
				
				126
				vendidos
			
		",(497 disponibles),"
	
		
			
		
		36 cuotas de
		
			
				$ 553
			
		
		 sin interés
		
	

	
		",NA,NA,Envío a nivel nacional,NA,NA,4.9,8,https://perfil.mercadolibre.com.co/COMERGAIN+OFICIALES?brandId=554,https://articulo.mercadolibre.com.co/MCO-481938583-afeitadora-electrica-trimmer-elimina-vello-nariz-oreja-alizz-_JM#position=1&type=item&tracking_id=07efe627-41e1-4b3c-883b-7da7fe22be3a,7,1,0,0,0,#481938583,NA,NA
2, Maquina Afeitadora Philips Electrica 13 En1 Barba Nariz Oido ,99.900,NA,"
			
				Nuevo
			
			
				
					 - 
				
				2023
				vendidos
			
		",(123 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 8.325
			
		
		 sin interés
		
	

	
		",NA,NA,Envío gratis a nivel nacional,NA,NA,4.8,205,https://perfil.mercadolibre.com.co/VIVE+NUEVO,https://articulo.mercadolibre.com.co/MCO-451670605-maquina-afeitadora-philips-electrica-13-en1-barba-nariz-oido-_JM#position=2&type=item&tracking_id=07efe627-41e1-4b3c-883b-7da7fe22be3a,176,27,0,1,1,#451670605,Philips,MG3750
3, Máquina Afeitadora Eléctrica 3 En 1 ,27.900,NA,"
			
				Nuevo
			
			
				
					 - 
				
				356
				vendidos
			
		",(44 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 2.325
			
		
		 sin interés
		
	

	
		",NA,NA,Envío a nivel nacional,NA,NA,4.6,17,https://perfil.mercadolibre.com.co/SHOPINGLINE+CC,https://articulo.mercadolibre.com.co/MCO-488361395-maquina-afeitadora-electrica-3-en-1-_JM#position=3&type=item&tracking_id=07efe627-41e1-4b3c-883b-7da7fe22be3a,12,3,2,0,0,#488361395,Gemei,NA
4, Maquina Afeitadora Eléctrica 3 En 1 Trimmer Recargable ,23.900,NA,"
			
				Nuevo
			
			
				
					 - 
				
				17
				vendidos
			
		",(67 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 1.992
			
		
		 sin interés
		
	

	
		",NA,NA,Envío a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/COMPRALOENCASATIENDA,https://articulo.mercadolibre.com.co/MCO-502627029-maquina-afeitadora-electrica-3-en-1-trimmer-recargable-_JM#position=4&type=item&tracking_id=07efe627-41e1-4b3c-883b-7da7fe22be3a,NA,NA,NA,NA,NA,#502627029,NA,NA
5, Afeitadora Eléctrica Remington Todo En 1 Original Recargable ,79.000,NA,"
			
				Nuevo
			
			
				
					 - 
				
				111
				vendidos
			
		",(33 disponibles),"
	
		
			
		
		36 cuotas de
		
			
				$ 2.194
			
		
		 sin interés
		
	

	
		",NA,NA,Envío gratis a nivel nacional,NA,NA,4.6,5,https://perfil.mercadolibre.com.co/JHORAMIREZPERES,https://articulo.mercadolibre.com.co/MCO-500669204-afeitadora-electrica-remington-todo-en-1-original-recargable-_JM#position=5&type=item&tracking_id=07efe627-41e1-4b3c-883b-7da7fe22be3a,4,0,1,0,0,#500669204,Remington,NA
6, Afeitadora Electrica Recargable Philips 5050 Seco Y Humedo ,229.900,NA,"
			
				Nuevo
			
			
				
					 - 
				
				54
				vendidos
			
		",(80 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 19.158
			
		
		 sin interés
		
	

	
		",NA,NA,Envío gratis a nivel nacional,NA,NA,5.0,4,https://perfil.mercadolibre.com.co/VIVIANA+MORERAS,https://articulo.mercadolibre.com.co/MCO-478077806-afeitadora-electrica-recargable-philips-5050-seco-y-humedo-_JM#position=6&type=item&tracking_id=07efe627-41e1-4b3c-883b-7da7fe22be3a,4,0,0,0,0,#478077806,Philips,NA
7," Afeitadora Eléctrica 3 En 1, Con Estuche ",27.900,NA,"
			
				Nuevo
			
			
				
					 - 
				
				38
				vendidos
			
		",(62 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 2.325
			
		
		 sin interés
		
	

	
		",NA,NA,Envío a nivel nacional,NA,NA,3.0,2,https://perfil.mercadolibre.com.co/SHOPINGLINE+CC,https://articulo.mercadolibre.com.co/MCO-500979241-afeitadora-electrica-3-en-1-con-estuche-_JM#position=7&type=item&tracking_id=07efe627-41e1-4b3c-883b-7da7fe22be3a,NA,NA,NA,NA,NA,#500979241,NA,NA
8, Máquina Afeitadora Eléctrica Kalley Max Flex Garantía 2 Años ,47.900,NA,"
			
				Nuevo
			
			
				
					 - 
				
				21
				vendidos
			
		",(8 disponibles),"
	
		
			
		
		36 cuotas de
		
			
				$ 1.331
			
		
		 sin interés
		
	

	
		",NA,NA,Envío a nivel nacional,NA,NA,4.7,3,https://perfil.mercadolibre.com.co/JD+MARKET,https://articulo.mercadolibre.com.co/MCO-516045118-maquina-afeitadora-electrica-kalley-max-flex-garantia-2-anos-_JM#position=8&type=item&tracking_id=07efe627-41e1-4b3c-883b-7da7fe22be3a,2,1,0,0,0,#516045118,NA,NA
9, Maquina Afeitadora Eléctrica 3 En 1 Trimmer Recargable 6651 ,24.900,NA,"
			
				Nuevo
			
			
				
					 - 
				
				31
				vendidos
			
		",(69 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 2.075
			
		
		 sin interés
		
	

	
		",NA,NA,Envío a nivel nacional,NA,NA,5.0,1,https://perfil.mercadolibre.com.co/COMPRALOENCASA.COM,https://articulo.mercadolibre.com.co/MCO-461208265-maquina-afeitadora-electrica-3-en-1-trimmer-recargable-6651-_JM#position=9&type=item&tracking_id=07efe627-41e1-4b3c-883b-7da7fe22be3a,NA,NA,NA,NA,NA,#461208265,NA,NA
10, Afeitadora Eléctrica Sonivox 2 Cabezales Recargable Potente ,19.900,39.900,"
			
				Nuevo
			
			
				
					 - 
				
				19
				vendidos
			
		",(6 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 1.658
			
		
		 sin interés
		
	

	
		",NA,NA,Envío a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/VSHOP-INTERNATIONAL,https://articulo.mercadolibre.com.co/MCO-474920320-afeitadora-electrica-sonivox-2-cabezales-recargable-potente-_JM#position=10&type=item&tracking_id=07efe627-41e1-4b3c-883b-7da7fe22be3a,NA,NA,NA,NA,NA,#474920320,NA,NA
