search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca del celular,Marca,Modelo,Material
1, Protector Full 360 + Vidrio iPhone 8 7 6s 6 Y Plus 5 5s Se ® ,117,NA,"
			
				Nuevo
			
			
				
					 - 
				
				1865
				vendidos
			
		",(3918 disponibles),"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 650
		
		 sin interés
		
	

	
		",50,NA,Envío a todo el país,NA,NA,4.6,68,http://perfil.mercadolibre.com.uy/TOPTECNOUY,https://articulo.mercadolibre.com.uy/MLU-442559969-protector-full-360-vidrio-iphone-8-7-6s-6-y-plus-5-5s-se--_JM#position=1&type=item&tracking_id=fbd73d79-2ce7-497d-a729-35d428139221,51,12,3,0,2,#442559969,Apple,Genérico,360 Full,Plástico
2, Carcasa Case iPhone Original Silicona 6 7 8 6/7/8pls 10 X Xs ,449,NA,"
			
				Nuevo
			
			
				
					 - 
				
				48
				vendidos
			
		",(142 disponibles),"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 2494
		
		 sin interés
		
	

	
		",94,NA,Envío a todo el país,NA,NA,5.0,6,http://perfil.mercadolibre.com.uy/MUNDOSHOP.UY,https://articulo.mercadolibre.com.uy/MLU-464439097-carcasa-case-iphone-original-silicona-6-7-8-678pls-10-x-xs-_JM?searchVariation=39510407317#position=2&type=item&tracking_id=fbd73d79-2ce7-497d-a729-35d428139221,6,0,0,0,0,#464439097,Apple,Apple,Todos,Silicona
3, Protector Tpu Borde Alto Impacto iPhone 8 7 6 6s Plus 5s 5 ® ,150,NA,"
			
				Nuevo
			
			
				
					 - 
				
				255
				vendidos
			
		",(3789 disponibles),"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 833
		
		 sin interés
		
	

	
		",33,NA,Envío a todo el país,NA,NA,4.6,8,http://perfil.mercadolibre.com.uy/TOPTECNOUY,https://articulo.mercadolibre.com.uy/MLU-446712450-protector-tpu-borde-alto-impacto-iphone-8-7-6-6s-plus-5s-5--_JM?searchVariation=39312263452#position=3&type=item&tracking_id=fbd73d79-2ce7-497d-a729-35d428139221,6,1,1,0,0,#446712450,Apple,NA,NA,TPU
4, Protector Fino Cristal Bumper iPhone 8 7 6 6s 5 5s Se Plus ® ,190,NA,"
			
				Nuevo
			
			
				
					 - 
				
				640
				vendidos
			
		",(3924 disponibles),"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 1056
		
		 sin interés
		
	

	
		",56,NA,Envío a todo el país,NA,NA,4.4,35,http://perfil.mercadolibre.com.uy/TOPTECNOUY,https://articulo.mercadolibre.com.uy/MLU-443333988-protector-fino-cristal-bumper-iphone-8-7-6-6s-5-5s-se-plus--_JM#position=4&type=item&tracking_id=fbd73d79-2ce7-497d-a729-35d428139221,20,10,4,1,0,#443333988,Apple,Apple,5/SE/6s/7/8/ Plus,TPU
5, Protector Fino Simil Cuero iPhone 8 7 6s 6 Se 5s 5 Y Plus ® ,350,NA,"
			
				Nuevo
			
			
				
					 - 
				
				808
				vendidos
			
		",(3983 disponibles),"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 1944
		
		 sin interés
		
	

	
		",44,NA,Envío a todo el país,NA,NA,4.1,26,http://perfil.mercadolibre.com.uy/TOPTECNOUY,https://articulo.mercadolibre.com.uy/MLU-443202210-protector-fino-simil-cuero-iphone-8-7-6s-6-se-5s-5-y-plus--_JM#position=5&type=item&tracking_id=fbd73d79-2ce7-497d-a729-35d428139221,13,7,2,3,1,#443202210,Apple,Genérico,Simil-cuero,Simil Cuero
6, Protector 360 Magnetico iPhone 6 7 7plus 8 8plus Xs Xr Xsmax ,490,NA,"
			
				Nuevo
			
			
				
					 - 
				
				451
				vendidos
			
		",(33 disponibles),"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 2722
		
		 sin interés
		
	

	
		",22,NA,Envío a todo el país,NA,NA,2.3,3,http://perfil.mercadolibre.com.uy/TUBELUXUY,https://articulo.mercadolibre.com.uy/MLU-443922805-protector-360-magnetico-iphone-6-7-7plus-8-8plus-xs-xr-xsmax-_JM#position=6&type=item&tracking_id=fbd73d79-2ce7-497d-a729-35d428139221,1,0,0,0,2,#443922805,Apple,NA,NA,TPU
7, Funda Estuche C/ Bateria Powerbank iPhone 8 7 6s 6 ® ,690,NA,"
			
				Nuevo
			
			
				
					 - 
				
				487
				vendidos
			
		",(5000 disponibles),"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 3833
		
		 sin interés
		
	

	
		",33,NA,Envío a todo el país,NA,NA,4.6,21,http://perfil.mercadolibre.com.uy/TOPTECNOUY,https://articulo.mercadolibre.com.uy/MLU-444690734-funda-estuche-c-bateria-powerbank-iphone-8-7-6s-6--_JM?searchVariation=40468487402#position=7&type=item&tracking_id=fbd73d79-2ce7-497d-a729-35d428139221,15,4,1,1,0,#444690734,NA,Power Bank,iPhone 8 / 7 / 6s / 6,NA
8, Estuche Espejados Aluminio iPhone 8 7 6 6 Plus 5 Se ,90,NA,"
			
				Nuevo
			
			
				
					 - 
				
				159
				vendidos
			
		",(78 disponibles),"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 500
		
		 sin interés
		
	

	
		",00,NA,Envío a todo el país,NA,NA,4.7,6,http://perfil.mercadolibre.com.uy/PRO+ACCESORIOSUY,https://articulo.mercadolibre.com.uy/MLU-445173371-estuche-espejados-aluminio-iphone-8-7-6-6-plus-5-se-_JM#position=8&type=item&tracking_id=fbd73d79-2ce7-497d-a729-35d428139221,5,0,1,0,0,#445173371,Apple,Iphone,Espejados,Aluminio
9, Protector 360 Magnetico iPhone 6s Plus 8 8 Plus X Xr Xs Max ,540,NA,"
			
				Nuevo
			
			
				
					 - 
				
				45
				vendidos
			
		",(40 disponibles),"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 3000
		
		 sin interés
		
	

	
		",00,NA,Envío a todo el país,NA,NA,3.0,1,http://perfil.mercadolibre.com.uy/TUBELUXUY,https://articulo.mercadolibre.com.uy/MLU-460107403-protector-360-magnetico-iphone-6s-plus-8-8-plus-x-xr-xs-max-_JM#position=9&type=item&tracking_id=fbd73d79-2ce7-497d-a729-35d428139221,NA,NA,NA,NA,NA,#460107403,Apple,NA,NA,NA
10, Estuche Funda iPhone 7 Y iPhone 8 ® Blister En Silicona ,450,NA,"
			
				Nuevo
			
			
				
					 - 
				
				27
				vendidos
			
		",(61 disponibles),"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 2500
		
		 sin interés
		
	

	
		",00,NA,Entrega a acordar con el vendedor,NA,NA,4.3,3,http://perfil.mercadolibre.com.uy/VENTAUY,https://articulo.mercadolibre.com.uy/MLU-455406832-estuche-funda-iphone-7-y-iphone-8-blister-en-silicona-_JM#position=10&type=item&tracking_id=fbd73d79-2ce7-497d-a729-35d428139221,2,0,1,0,0,#455406832,Apple,NA,NA,Silicona
