search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca del celular,Color,Modelo del celular,Marca,Modelo,Material
1, Case iPhone X Xr Xs Max 7 8 Plus Protector Delgado Mate ,69,NA,"
			
				Nuevo
			
			
				
					 - 
				
				10
				vendidos
			
		",(89 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,5.0,1,http://perfil.mercadolibre.com.pe/PASAJECENTRALSAC,https://articulo.mercadolibre.com.pe/MPE-435989808-case-iphone-x-xr-xs-max-7-8-plus-protector-delgado-mate-_JM#position=1&type=item&tracking_id=dcd222cd-d3cc-4303-90e5-8e989f13cd18,NA,NA,NA,NA,NA,#435989808,Apple,Negro,NA,NA,NA,NA
2, Funda iPhone 7/8/7 Plus/8 Plus/ X 3 En 1 Case Carcasa ,12,NA,"
			
				Nuevo
			
			
				
					 - 
				
				19
				vendidos
			
		",(55 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/JAPIMPORTA,https://articulo.mercadolibre.com.pe/MPE-431223060-funda-iphone-787-plus8-plus-x-3-en-1-case-carcasa-_JM#position=2&type=item&tracking_id=dcd222cd-d3cc-4303-90e5-8e989f13cd18,NA,NA,NA,NA,NA,#431223060,Apple,NA,NA,NA,NA,NA
3, Case Galaxy S10 Plus S9 S8+ S8 Cover iPhone Xs Max X Note 9 ,169,NA,"
			
				Nuevo
			
			
				
					 - 
				
				79
				vendidos
			
		",(74 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,4.8,6,http://perfil.mercadolibre.com.pe/GLOBAL+CELS,https://articulo.mercadolibre.com.pe/MPE-424678527-case-galaxy-s10-plus-s9-s8-s8-cover-iphone-xs-max-x-note-9-_JM#position=3&type=item&tracking_id=dcd222cd-d3cc-4303-90e5-8e989f13cd18,5,1,0,0,0,#424678527,Samsung,NA,S10 Plus S9 S8+ S8 iPhone Xs Max X Note 9,Z-Bold Armor USA,Case c/ 2 parantes y Gancho,Policarbonato y tetrapoliuretano
4, Case iPhone X Xs Max Xr 7 8 10 Plus Xs Protector Supcase Usa ,129,159,"
			
				Nuevo
			
			
				
					 - 
				
				16
				vendidos
			
		",(83 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,4.0,1,http://perfil.mercadolibre.com.pe/PASAJECENTRALSAC,https://articulo.mercadolibre.com.pe/MPE-435989656-case-iphone-x-xs-max-xr-7-8-10-plus-xs-protector-supcase-usa-_JM#position=4&type=item&tracking_id=dcd222cd-d3cc-4303-90e5-8e989f13cd18,NA,NA,NA,NA,NA,#435989656,Apple,NA,NA,NA,NA,NA
5, Funda Case Transparente iPhone X 8 8 Plus 7 7 Plus 6s 6 ,39,NA,"
			
				Nuevo
			
			
				
					 - 
				
				9
				vendidos
			
		","
		
			¡Último disponible!
		
	",NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/CSHOP1,https://articulo.mercadolibre.com.pe/MPE-432367752-funda-case-transparente-iphone-x-8-8-plus-7-7-plus-6s-6-_JM#position=5&type=item&tracking_id=dcd222cd-d3cc-4303-90e5-8e989f13cd18,NA,NA,NA,NA,NA,#432367752,Apple,NA,NA,NA,NA,NA
6, Protector Funda Silicone Case iPhone X 7 8 Y Plus Sellado ,34,NA,"
			
				Nuevo
			
			
				
					 - 
				
				394
				vendidos
			
		",(34 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,3.7,7,http://perfil.mercadolibre.com.pe/CASEMOTIONS.PE,https://articulo.mercadolibre.com.pe/MPE-422401481-protector-funda-silicone-case-iphone-x-7-8-y-plus-sellado-_JM#position=6&type=item&tracking_id=dcd222cd-d3cc-4303-90e5-8e989f13cd18,3,2,0,1,1,#422401481,Apple,NA,NA,NA,Silicone Case,NA
7," Funda Para iPhone 6, 6 Plus,7 Plus ,8 Plus - Autofocus Case ",16,NA,"
			
				Nuevo
			
			
				
					 - 
				
				6
				vendidos
			
		",(70 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/JAPIMPORTA,https://articulo.mercadolibre.com.pe/MPE-432242766-funda-para-iphone-6-6-plus7-plus-8-plus-autofocus-case-_JM#position=7&type=item&tracking_id=dcd222cd-d3cc-4303-90e5-8e989f13cd18,NA,NA,NA,NA,NA,#432242766,Apple,NA,NA,NA,NA,NA
8," Funda Case iPhone 6, 6s, 7, 7plus,8, 8plus,xr, X, Xs, Xs Max ",55,NA,"
			
				Nuevo
			
			
				
					 - 
				
				4
				vendidos
			
		",(9 disponibles),NA,NA,NA,Envío gratis a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/GHINEXS,https://articulo.mercadolibre.com.pe/MPE-435296638-funda-case-iphone-6-6s-7-7plus8-8plusxr-x-xs-xs-max-_JM#position=8&type=item&tracking_id=dcd222cd-d3cc-4303-90e5-8e989f13cd18,NA,NA,NA,NA,NA,#435296638,Apple,NA,NA,NA,NA,NA
9, Apple® Leather Case Para iPhone 7 8 Plus Funda Cuero Tienda ,189,NA,"
			
				Nuevo
			
			
				
					 - 
				
				3
				vendidos
			
		",(96 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/PASAJECENTRALSAC,https://articulo.mercadolibre.com.pe/MPE-435990324-apple-leather-case-para-iphone-7-8-plus-funda-cuero-tienda-_JM#position=9&type=item&tracking_id=dcd222cd-d3cc-4303-90e5-8e989f13cd18,NA,NA,NA,NA,NA,#435990324,Apple,Negro,NA,Apple,Leather Case,Cuero
10, Case Funda Protector Supcase iPhone 7 8 Y Plus Stock Colores ,39,NA,"
			
				Nuevo
			
			
				
					 - 
				
				160
				vendidos
			
		",(104 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,4.8,5,http://perfil.mercadolibre.com.pe/CASEMOTIONS.PE,https://articulo.mercadolibre.com.pe/MPE-421205404-case-funda-protector-supcase-iphone-7-8-y-plus-stock-colores-_JM#position=10&type=item&tracking_id=dcd222cd-d3cc-4303-90e5-8e989f13cd18,4,1,0,0,0,#421205404,Apple,NA,NA,NA,NA,NA
