search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Modelo
1, iPhone 8 Plus 7 Plus Funda De Silicona Transparente ,9.4,NA,4,16,36 cuotas,NA,NA,Envío a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/APRECIOSDEREMATE,https://articulo.mercadolibre.com.co/MCO-525740005-iphone-8-plus-7-plus-funda-de-silicona-transparente-_JM#position=1&type=item&tracking_id=89e2c4ad-e749-4224-a108-7403a6ab4242,NA,NA,NA,NA,NA,#525740005,NA,NA
2," Funda Magnetica iPhone X; Xs Max, Xr, 7/8 Plus, 6/ 6 Plus ",35,NA,87,477,12 cuotas,NA,NA,Envío a nivel nacional,NA,NA,4,2,https://perfil.mercadolibre.com.co/BACKUPSTORECOL,https://articulo.mercadolibre.com.co/MCO-488553124-funda-magnetica-iphone-x-xs-max-xr-78-plus-6-6-plus-_JM#position=2&type=item&tracking_id=89e2c4ad-e749-4224-a108-7403a6ab4242,0,2,0,0,0,#488553124,NA,NA
3," Funda Espejo Iphone6/6 Plus 7/8 7 / 8 Plus, X Mickey Mouse ",30,NA,38,11,12 cuotas,NA,NA,Envío a nivel nacional,NA,NA,5,2,https://perfil.mercadolibre.com.co/BACKUPSTORECOL,https://articulo.mercadolibre.com.co/MCO-464139929-funda-espejo-iphone66-plus-78-7-8-plus-x-mickey-mouse-_JM#position=3&type=item&tracking_id=89e2c4ad-e749-4224-a108-7403a6ab4242,2,0,0,0,0,#464139929,NA,NA
4, Carcasa Funda Estuche iPhone ,19.999,NA,113,12,12 cuotas,NA,NA,Envío a nivel nacional,NA,NA,5,6,https://perfil.mercadolibre.com.co/MLOKEDO,https://articulo.mercadolibre.com.co/MCO-494589405-carcasa-funda-estuche-iphone-_JM?searchVariation=34800570882#position=4&type=item&tracking_id=89e2c4ad-e749-4224-a108-7403a6ab4242,6,0,0,0,0,#494589405,NA,NA
5, Funda iPhone 7/8 Plus Silicone Case ,18.9,NA,0,12,36 cuotas,NA,NA,Envío a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/TELEPRODUCTOS+BOGOTA,https://articulo.mercadolibre.com.co/MCO-527660171-funda-iphone-78-plus-silicone-case-_JM#position=5&type=item&tracking_id=89e2c4ad-e749-4224-a108-7403a6ab4242,NA,NA,NA,NA,NA,#527660171,NA,NA
6, Funda Sumergible /iPhone 8/7plus/ 6 Plus /8/7/6/6s/universal ,34.99,NA,17,2,36 cuotas,NA,NA,Envío a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/NEXOSGROUP2010,https://articulo.mercadolibre.com.co/MCO-447917005-funda-sumergible-iphone-87plus-6-plus-8766suniversal-_JM#position=6&type=item&tracking_id=89e2c4ad-e749-4224-a108-7403a6ab4242,NA,NA,NA,NA,NA,#447917005,NA,NA
7, Spigen Tough Armor [2nd Generation] Funda iPhone 8 Plus ,119.9,NA,4,5,12 cuotas,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/AKARGO+COLOMBIA,https://articulo.mercadolibre.com.co/MCO-463250747-spigen-tough-armor-2nd-generation-funda-iphone-8-plus-_JM#position=7&type=item&tracking_id=89e2c4ad-e749-4224-a108-7403a6ab4242,NA,NA,NA,NA,NA,#463250747,NA,NA
8, Fundas De Silicona Para Iphone 8 Y 8 Plus ,25,NA,0,12,36 cuotas,NA,NA,Envío a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/SEBASTEANO,https://articulo.mercadolibre.com.co/MCO-495735959-fundas-de-silicona-para-iphone-8-y-8-plus-_JM#position=8&type=item&tracking_id=89e2c4ad-e749-4224-a108-7403a6ab4242,NA,NA,NA,NA,NA,#495735959,NA,NA
9, Estuche iPhone 7 8 Plus Funda D Cristal Templado Cierre Imán ,42,NA,2,9,36 cuotas,NA,NA,Envío a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/TEKNINN,https://articulo.mercadolibre.com.co/MCO-502290288-estuche-iphone-7-8-plus-funda-d-cristal-templado-cierre-iman-_JM#position=9&type=item&tracking_id=89e2c4ad-e749-4224-a108-7403a6ab4242,NA,NA,NA,NA,NA,#502290288,NA,NA
10, Funda Antichoque Para iPhone X - 7/8 - 7/8 Plus - Azul ,40.3,NA,5,286,12 cuotas,NA,NA,Envío a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/PHONETIFYTIENDAONLINE,https://articulo.mercadolibre.com.co/MCO-483700658-funda-antichoque-para-iphone-x-78-78-plus-azul-_JM?searchVariation=40895018934#position=10&type=item&tracking_id=89e2c4ad-e749-4224-a108-7403a6ab4242,NA,NA,NA,NA,NA,#483700658,NA,NA
11," Funda 360 iPhone X, 6, 6 Plus, 7, 7 Plus, 8, 8 Plus + Vidrio ",32,NA,23,77,12 cuotas,NA,NA,Envío a nivel nacional,NA,NA,4.5,2,https://perfil.mercadolibre.com.co/WEBCASTERSHOP,https://articulo.mercadolibre.com.co/MCO-452428438-funda-360-iphone-x-6-6-plus-7-7-plus-8-8-plus-vidrio-_JM#position=11&type=item&tracking_id=89e2c4ad-e749-4224-a108-7403a6ab4242,1,1,0,0,0,#452428438,NA,NA
12, Estuche Funda Bumper Protector iPhone 8 / 8 Plus Negro ,35,NA,39,5,36 cuotas,NA,NA,Envío a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/KLIDAD+OFICIAL,https://articulo.mercadolibre.com.co/MCO-524696672-estuche-funda-bumper-protector-iphone-8-8-plus-negro-_JM?searchVariation=40859589966#position=12&type=item&tracking_id=89e2c4ad-e749-4224-a108-7403a6ab4242,NA,NA,NA,NA,NA,#524696672,NA,NA
13, Otterbox Defender Series Funda Para iPhone 8 Plus Y iPhone 7 ,220.9,NA,1,5,12 cuotas,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/AKARGO+COLOMBIA,https://articulo.mercadolibre.com.co/MCO-459385397-otterbox-defender-series-funda-para-iphone-8-plus-y-iphone-7-_JM#position=13&type=item&tracking_id=89e2c4ad-e749-4224-a108-7403a6ab4242,NA,NA,NA,NA,NA,#459385397,NA,NA
14, Funda Iluv Para iPhone 8 Y 7 Plus Crystal Ring Transparente ,47,NA,2,NA,36 cuotas,NA,NA,Envío a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/ANROHEZ,https://articulo.mercadolibre.com.co/MCO-518742210-funda-iluv-para-iphone-8-y-7-plus-crystal-ring-transparente-_JM#position=14&type=item&tracking_id=89e2c4ad-e749-4224-a108-7403a6ab4242,NA,NA,NA,NA,NA,#518742210,NA,NA
15, Funda Silicon Case iPhone 7/8 Plus Agujero Ultrafino Sellado ,22,NA,2,3,12 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/OLOGHY,https://articulo.mercadolibre.com.co/MCO-509776657-funda-silicon-case-iphone-78-plus-agujero-ultrafino-sellado-_JM#position=15&type=item&tracking_id=89e2c4ad-e749-4224-a108-7403a6ab4242,NA,NA,NA,NA,NA,#509776657,NA,NA
16," Carcasa Funda Silicona iPhone 6, 7, 8 Plus, X, Xs ",17.999,NA,0,10,12 cuotas,NA,NA,Envío a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/SEENONIMPORTACIONES,https://articulo.mercadolibre.com.co/MCO-507060579-carcasa-funda-silicona-iphone-6-7-8-plus-x-xs-_JM#position=16&type=item&tracking_id=89e2c4ad-e749-4224-a108-7403a6ab4242,NA,NA,NA,NA,NA,#507060579,NA,NA
17, Case iPhone 7/8plus Blanco Silicona Protector Forro Funda ,29.9,NA,8,2,36 cuotas,NA,NA,Envío a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/IPHONESHOP_BQ,https://articulo.mercadolibre.com.co/MCO-492899409-case-iphone-78plus-blanco-silicona-protector-forro-funda-_JM#position=17&type=item&tracking_id=89e2c4ad-e749-4224-a108-7403a6ab4242,NA,NA,NA,NA,NA,#492899409,NA,NA
18, iPhone 8 Plus Kit Protector Funda Delgada + Vidrio Templado ,48.9,80,24,4,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,4.2,6,https://perfil.mercadolibre.com.co/TIENDANOSTRA.COM,https://articulo.mercadolibre.com.co/MCO-458321230-iphone-8-plus-kit-protector-funda-delgada-vidrio-templado-_JM#position=18&type=item&tracking_id=89e2c4ad-e749-4224-a108-7403a6ab4242,4,1,0,0,1,#458321230,NA,NA
19, Funda Forro Protector 360 Gkk Estuche 3 En 1 iPhone 8 Plus ,27.9,NA,0,10,12 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/CAROLINA.CASTRO68,https://articulo.mercadolibre.com.co/MCO-516372872-funda-forro-protector-360-gkk-estuche-3-en-1-iphone-8-plus-_JM#position=19&type=item&tracking_id=89e2c4ad-e749-4224-a108-7403a6ab4242,NA,NA,NA,NA,NA,#516372872,NA,NA
20, Funda Silicona Para iPhone 7 Plus - 8 Plus ,18,NA,0,8,12 cuotas,NA,NA,Envío a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/URBAN+TECHNO,https://articulo.mercadolibre.com.co/MCO-504849800-funda-silicona-para-iphone-7-plus-8-plus-_JM#position=20&type=item&tracking_id=89e2c4ad-e749-4224-a108-7403a6ab4242,NA,NA,NA,NA,NA,#504849800,NA,NA
21," Carcasa Funda Silicona iPhone 6, 7, 8 Plus, X, Xs ",17.999,NA,0,19,12 cuotas,NA,NA,Envío a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/JIS+IMPORTACIONES,https://articulo.mercadolibre.com.co/MCO-503516446-carcasa-funda-silicona-iphone-6-7-8-plus-x-xs-_JM#position=21&type=item&tracking_id=89e2c4ad-e749-4224-a108-7403a6ab4242,NA,NA,NA,NA,NA,#503516446,NA,NA
