seller_name,link,time_operating,units_of_time_operating,amt_sold,leader_status,top_descriptor1,top_descriptor2,num_reviews,num_neg_reviews,num_neutral_reviews,num_pos_reviews,location,timeframe_of_amt_sold
Anker Tienda oficial,http://perfil.mercadolibre.com.pe/ANKER+PERU?brandId=144,8,8 meses vendiendo en Mercado Libre,279,MercadoLíder Gold¡Está entre los mejores del sitio!,NA,NA,165,Negativa (2),Neutral (5),Positiva (158),"Lima, Lima.",NA
MIALIENSTORE,http://perfil.mercadolibre.com.pe/MIALIENSTORE,3,3 años vendiendo en Mercado Libre,1106,MercadoLíder Gold¡Está entre los mejores del sitio!,NA,NA,713,Negativa (1),Neutral (26),Positiva (686),"Lima, Lima.",NA
BONOTECH.PE,http://perfil.mercadolibre.com.pe/BONOTECH.PE,6,6 años vendiendo en Mercado Libre,4178,NA,NA,NA,2480,Negativa (12),Neutral (271),Positiva (2197),"Lima, Lima.",NA
ELECTROFERTAS SELLADAS,http://perfil.mercadolibre.com.pe/ELECTROFERTAS+SELLADAS,1,1 año vendiendo en Mercado Libre,374,MercadoLíder Gold¡Está entre los mejores del sitio!,NA,NA,344,Negativa (0),Neutral (0),Positiva (344),"Lima, Lima.",NA
REYLU PRODUCTS,http://perfil.mercadolibre.com.pe/REYLU+PRODUCTS,6,6 años vendiendo en Mercado Libre,147,MercadoLíder¡Está entre los mejores del sitio!,NA,NA,114,Negativa (8),Neutral (11),Positiva (95),"Lima, Lima.",NA
BESTOFFERSPERU,http://perfil.mercadolibre.com.pe/BESTOFFERSPERU,5,5 años vendiendo en Mercado Libre,1570,MercadoLíder Gold¡Está entre los mejores del sitio!,NA,NA,1076,Negativa (2),Neutral (61),Positiva (1013),"Lima, Lima.",NA
SPORTECH BALHER,http://perfil.mercadolibre.com.pe/SPORTECH+BALHER,5,5 años vendiendo en Mercado Libre,482,MercadoLíder¡Está entre los mejores del sitio!,NA,NA,312,Negativa (0),Neutral (15),Positiva (297),"Lima, Lima.",NA
LIZANDRIAN15,http://perfil.mercadolibre.com.pe/LIZANDRIAN15,2,2 años vendiendo en Mercado Libre,347,NA,NA,NA,190,Negativa (4),Neutral (12),Positiva (174),"Lima, Lima.",NA
FULL NOVEDADES-,http://perfil.mercadolibre.com.pe/FULL+NOVEDADES-,1,1 año vendiendo en Mercado Libre,1053,MercadoLíder Gold¡Está entre los mejores del sitio!,NA,NA,750,Negativa (0),Neutral (20),Positiva (730),"Lima, Lima.",NA
ANDREUS STORE,http://perfil.mercadolibre.com.pe/ANDREUS+STORE,1,1 año vendiendo en Mercado Libre,30,NA,NA,NA,34,Negativa (1),Neutral (0),Positiva (33),"Lima, Lima.",NA
IMANIA.PERU,http://perfil.mercadolibre.com.pe/IMANIA.PERU,2,2 años vendiendo en Mercado Libre,2098,MercadoLíder Gold¡Está entre los mejores del sitio!,NA,NA,1119,Negativa (0),Neutral (11),Positiva (1108),"Lima, Lima.",NA
Sony Tienda oficial,http://perfil.mercadolibre.com.pe/SONYPERUSRL?brandId=25,2,2 años vendiendo en Mercado Libre,1612,MercadoLíder Gold¡Está entre los mejores del sitio!,NA,NA,1048,Negativa (24),Neutral (70),Positiva (954),"Lima, Lima.",NA
SELLMERX SAC,http://perfil.mercadolibre.com.pe/SELLMERX+SAC,1,1 año vendiendo en Mercado Libre,204,NA,NA,NA,93,Negativa (0),Neutral (7),Positiva (86),"Lima, Lima.",NA
OSCARENRIQUECASTILLOFALCON,http://perfil.mercadolibre.com.pe/OSCARENRIQUECASTILLOFALCON,1,1 año vendiendo en Mercado Libre,209,MercadoLíder¡Está entre los mejores del sitio!,NA,NA,159,Negativa (2),Neutral (7),Positiva (150),"Lima, Lima.",NA
APPLEMALLCENTER,http://perfil.mercadolibre.com.pe/APPLEMALLCENTER,3,3 años vendiendo en Mercado Libre,1041,MercadoLíder Gold¡Está entre los mejores del sitio!,NA,NA,764,Negativa (0),Neutral (4),Positiva (760),"Lima, Lima.",NA
GRUPONATIC.PE,http://perfil.mercadolibre.com.pe/GRUPONATIC.PE,4,4 años vendiendo en Mercado Libre,23896,MercadoLíder Gold¡Está entre los mejores del sitio!,NA,NA,8558,Negativa (187),Neutral (704),Positiva (7667),"Lima, Lima.",NA
INNOVA LEDS,http://perfil.mercadolibre.com.pe/INNOVA+LEDS,3,3 años vendiendo en Mercado Libre,1347,MercadoLíder Gold¡Está entre los mejores del sitio!,NA,NA,788,Negativa (0),Neutral (0),Positiva (788),"Lima, Lima.",NA
SOUNDA E.I.R.L,http://perfil.mercadolibre.com.pe/SOUNDA+E.I.R.L,9,9 años vendiendo en Mercado Libre,701,MercadoLíder¡Está entre los mejores del sitio!,NA,NA,384,Negativa (0),Neutral (14),Positiva (370),"Lima, Lima.",NA
OFERTAS DELIVERY,http://perfil.mercadolibre.com.pe/OFERTAS+DELIVERY,4,4 años vendiendo en Mercado Libre,3710,MercadoLíder Gold¡Está entre los mejores del sitio!,NA,NA,1759,Negativa (11),Neutral (125),Positiva (1623),"Lima, Lima.",NA
SANTOFA E.I.R.L,http://perfil.mercadolibre.com.pe/SANTOFA+E.I.R.L,2,2 años vendiendo en Mercado Libre,2495,MercadoLíder Gold¡Está entre los mejores del sitio!,NA,NA,1483,Negativa (3),Neutral (84),Positiva (1396),"Lima, Lima.",NA
CIBERVENTAS4000,http://perfil.mercadolibre.com.pe/CIBERVENTAS4000,9,9 años vendiendo en Mercado Libre,626,MercadoLíder¡Está entre los mejores del sitio!,NA,NA,341,Negativa (3),Neutral (20),Positiva (318),"Lima, Lima.",NA
PERU_DE_SHOPPING,http://perfil.mercadolibre.com.pe/PERU_DE_SHOPPING,5,5 años vendiendo en Mercado Libre,2407,MercadoLíder Gold¡Está entre los mejores del sitio!,NA,NA,1297,Negativa (23),Neutral (89),Positiva (1185),"Lima, Lima.",NA
MASPLAY PERU,http://perfil.mercadolibre.com.pe/MASPLAY+PERU,7,7 años vendiendo en Mercado Libre,1278,MercadoLíder Gold¡Está entre los mejores del sitio!,NA,NA,918,Negativa (8),Neutral (88),Positiva (822),"Lima, Lima.",NA
INTECGLOBALPERU,http://perfil.mercadolibre.com.pe/INTECGLOBALPERU,6,6 años vendiendo en Mercado Libre,5213,MercadoLíder Gold¡Está entre los mejores del sitio!,NA,NA,3699,Negativa (7),Neutral (30),Positiva (3662),"Lima, Lima.",NA
DLECTRO,http://perfil.mercadolibre.com.pe/DLECTRO,2,2 años vendiendo en Mercado Libre,1352,NA,NA,NA,680,Negativa (1),Neutral (76),Positiva (603),"Lima, Lima.",NA
PRECIO.PE,http://perfil.mercadolibre.com.pe/PRECIO.PE,2,2 años vendiendo en Mercado Libre,4203,NA,NA,NA,1611,Negativa (61),Neutral (193),Positiva (1357),"Lima, Lima.",NA
PLAZATECH,http://perfil.mercadolibre.com.pe/PLAZATECH,9,9 años vendiendo en Mercado Libre,592,NA,NA,NA,300,Negativa (2),Neutral (17),Positiva (281),"Lima, Lima.",NA
OSWALDO VALVERDE,http://perfil.mercadolibre.com.pe/OSWALDO+VALVERDE,7,7 años vendiendo en Mercado Libre,466,MercadoLíder¡Está entre los mejores del sitio!,NA,NA,219,Negativa (0),Neutral (11),Positiva (208),"Lima, Lima.",NA
IMPORTACIONESMYJASOCIADOS,http://perfil.mercadolibre.com.pe/IMPORTACIONESMYJASOCIADOS,13,13 años vendiendo en Mercado Libre,134,NA,NA,NA,80,Negativa (0),Neutral (8),Positiva (72),"Lima, Lima.",NA
NO2125288,http://perfil.mercadolibre.com.pe/NO2125288,3,3 meses vendiendo en Mercado Libre,45,NA,NA,NA,37,Negativa (0),Neutral (1),Positiva (36),"Lima, Lima.",NA
LATINO.,http://perfil.mercadolibre.com.pe/LATINO.,1,1 año vendiendo en Mercado Libre,601,NA,NA,NA,304,Negativa (2),Neutral (16),Positiva (286),"Lima, Lima.",NA
