seller_name,link,time_operating,units_of_time_operating,amt_sold,leader_status,top_descriptor1,top_descriptor2,num_reviews,num_neg_reviews,num_neutral_reviews,num_pos_reviews,location,timeframe_of_amt_sold,units_timeframe_of_amt_sold
GKMOTOS,http://perfil.mercadolibre.com.uy/GKMOTOS,10,años,304,MercadoLíder¡Está entre los mejores del sitio!,NA,NA,226,2,8,216,"Cerro, Montevideo.",NA,NA
RUBIBIKES,http://perfil.mercadolibre.com.uy/RUBIBIKES,12,años,2272,MercadoLíder Gold¡Está entre los mejores del sitio!,NA,NA,1638,2,9,1627,"Buceo, Montevideo.",NA,NA
CAFERACEUY,http://perfil.mercadolibre.com.uy/CAFERACEUY,6,años,660,MercadoLíder¡Está entre los mejores del sitio!,NA,NA,477,2,31,444,"Malvin, Montevideo.",NA,NA
MOTO_TORRE,http://perfil.mercadolibre.com.uy/MOTO_TORRE,10,años,3262,MercadoLíder Gold¡Está entre los mejores del sitio!,NA,NA,3411,0,246,3165,"Aguada, Montevideo.",NA,NA
URURACER,http://perfil.mercadolibre.com.uy/URURACER,9,años,911,MercadoLíder¡Está entre los mejores del sitio!,NA,NA,1180,9,205,966,"Cordón, Montevideo.",NA,NA
MOTOSHOPSRLMOTOSHOPSRL,http://perfil.mercadolibre.com.uy/MOTOSHOPSRLMOTOSHOPSRL,2,años,7285,MercadoLíder Gold¡Está entre los mejores del sitio!,NA,NA,4584,2,59,4523,"Centro, Montevideo.",NA,NA
NANY MOTOS,http://perfil.mercadolibre.com.uy/NANY+MOTOS,6,años,151,NA,NA,NA,74,1,2,71,"La Teja, Montevideo.",NA,NA
INTERNACIONALRACEIMPORT,http://perfil.mercadolibre.com.uy/INTERNACIONALRACEIMPORT,2,años,269,NA,NA,NA,191,2,3,186,"Rivera, Rivera.",NA,NA
JUGUECTILCOM,http://perfil.mercadolibre.com.uy/JUGUECTILCOM,4,años,2502,MercadoLíder Gold¡Está entre los mejores del sitio!,NA,NA,1507,0,12,1495,"Tres Cruces, Montevideo.",NA,NA
ALLROADURUGUAY,http://perfil.mercadolibre.com.uy/ALLROADURUGUAY,5,años,706,MercadoLíder¡Está entre los mejores del sitio!,NA,NA,462,2,13,447,"San José de Carrasco, Canelones.",NA,NA
FISHCOMPANY URUGUAY,http://perfil.mercadolibre.com.uy/FISHCOMPANY+URUGUAY,3,años,1768,MercadoLíder¡Está entre los mejores del sitio!,NA,NA,1064,7,19,1038,"Brazo Oriental, Montevideo.",NA,NA
Ebay Tienda oficial,http://perfil.mercadolibre.com.uy/HERMES_STORE?brandId=520,1,año,5133,MercadoLíder Platinum¡Es uno de los mejores del sitio!,NA,NA,2392,30,313,2049,"Ciudad Vieja, Montevideo.",NA,NA
