search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,color,size,Marca,Tipo,Modelo,Tipo de casco,Línea,Tipo de visor,Materiales del exterior,Edad,Género
1, Casco Integral P/moto Vento Mod Italy Con Fucsia Ideal Dama ,1290,NA,11,3,18 cuotas,71.67,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/GKMOTOS,https://articulo.mercadolibre.com.uy/MLU-460684094-casco-integral-pmoto-vento-mod-italy-con-fucsia-ideal-dama-_JM,NA,NA,NA,NA,NA,#460684094,NA,NA,Vento,Integral,NA,NA,NA,NA,NA,NA,NA
2, Casco Rebatible Con Lentes Hawk Negro Mate ,2500,NA,88,34,18 cuotas,138.89,NA,Entrega a acordar con el vendedor,NA,NA,4.6,14,http://perfil.mercadolibre.com.uy/RUBIBIKES,https://articulo.mercadolibre.com.uy/MLU-451740128-casco-rebatible-con-lentes-hawk-negro-mate-_JM?searchVariation=40474244677,11,2,0,1,0,#451740128,Negro,S M L XL,Hawk,NA,NA,NA,NA,NA,NA,NA,NA
3, Casco De Moto Para Niña Princesas Aprobados Por Latu ,1100,NA,24,19,18 cuotas,61.11,NA,Entrega a acordar con el vendedor,NA,NA,5,2,http://perfil.mercadolibre.com.uy/RUBIBIKES,https://articulo.mercadolibre.com.uy/MLU-455463403-casco-de-moto-para-nina-princesas-aprobados-por-latu-_JM,2,0,0,0,0,#455463403,Blanco y Rosado,52/54 cm,Mixx,NA,Selfie,Integral,NA,NA,NA,NA,NA
4, Casco Integral Ls2 Negro Liso | Oferta! Moto Protección ,69,75,33,NA,18 cuotas,140.57,NA,Envío gratis a todo el país,NA,NA,4.5,2,http://perfil.mercadolibre.com.uy/CAFERACEUY,https://articulo.mercadolibre.com.uy/MLU-451251909-casco-integral-ls2-negro-liso-oferta-moto-proteccion-_JM,1,1,0,0,0,#451251909,NA,NA,LS2,NA,NA,Integral,NA,NA,NA,NA,NA
5, Casco Hjc Moto Cs-15 Liso Negro Mate Con Visor Oscuro ,139,NA,9,5,18 cuotas,283.17,NA,Envío a todo el país,NA,NA,5,1,http://perfil.mercadolibre.com.uy/MOTO_TORRE,https://articulo.mercadolibre.com.uy/MLU-458020157-casco-hjc-moto-cs-15-liso-negro-mate-con-visor-oscuro-_JM?searchVariation=39013534296,1,0,0,0,0,#458020157,Negro mate,NA,HJC,NA,CS-15,Integral,CS-15,NA,NA,NA,NA
6, Casco Nash 3/4 Abierto Con Visor Y Lentes Con Protección Uv ,32,35,25,6,18 cuotas,65.19,NA,Envío gratis a todo el país,NA,NA,3.7,3,http://perfil.mercadolibre.com.uy/CAFERACEUY,https://articulo.mercadolibre.com.uy/MLU-460324842-casco-nash-34-abierto-con-visor-y-lentes-con-proteccion-uv-_JM,2,0,0,0,1,#460324842,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7, Cascos Para Motos / Mt Helmets Stinger / Acero Blanco ,86,NA,18,82,18 cuotas,175.20,NA,Envío a todo el país,NA,NA,5,1,http://perfil.mercadolibre.com.uy/URURACER,https://articulo.mercadolibre.com.uy/MLU-456282940-cascos-para-motos-mt-helmets-stinger-acero-blanco-_JM,1,0,0,0,0,#456282940,NA,NA,MT Helmets,NA,Stinger,Integral,Acero,Simple,Resina,Adultos,Unisex
8, Casco Moto Rebatible Hjc Rpha90 Mate Black Fibra De Carbono ,690,NA,1,2,18 cuotas,1.405.68,NA,Envío a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/MOTO_TORRE,https://articulo.mercadolibre.com.uy/MLU-460267841-casco-moto-rebatible-hjc-rpha90-mate-black-fibra-de-carbono-_JM?searchVariation=40283787148,NA,NA,NA,NA,NA,#460267841,Negro,NA,HJC,NA,Carbon,Integral,RPHA 11 Pro,NA,NA,NA,NA
9, Casco Integral Para Moto Marca Vento Mod Italy Con Gris ,1290,NA,14,5,18 cuotas,71.67,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/GKMOTOS,https://articulo.mercadolibre.com.uy/MLU-459212375-casco-integral-para-moto-marca-vento-mod-italy-con-gris-_JM,NA,NA,NA,NA,NA,#459212375,NA,NA,Vento,Integral,NA,NA,NA,NA,NA,NA,NA
10, Casco Moto Hjc Fg-70s Apol Mc-5f Retro Bobber Vintage ,179,NA,4,2,18 cuotas,364.66,NA,Envío a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/MOTO_TORRE,https://articulo.mercadolibre.com.uy/MLU-454979981-casco-moto-hjc-fg-70s-apol-mc-5f-retro-bobber-vintage-_JM?searchVariation=41153414535,NA,NA,NA,NA,NA,#454979981,Negro,NA,HJC,NA,FG-70 APOL MC5F,Abierto,NA,NA,KEBLAR,Adultos,Unisex
11, Casco Integral Power Maxx Dot Colores Lisos Homologado ,1230,NA,164,6,18 cuotas,68.33,NA,Entrega a acordar con el vendedor,NA,NA,4.6,17,http://perfil.mercadolibre.com.uy/MOTOSHOPSRLMOTOSHOPSRL,https://articulo.mercadolibre.com.uy/MLU-443908518-casco-integral-power-maxx-dot-colores-lisos-homologado-_JM,12,4,1,0,0,#443908518,NA,NA,NA,Integral,NA,NA,NA,NA,NA,NA,NA
12," Casco Integral Negro Y Gris, Acerbis, Hecho En Italia ",99,160,NA,5,18 cuotas,201.69,NA,Envío gratis a todo el país,NA,NA,NA,NA,NA,https://articulo.mercadolibre.com.uy/MLU-465484202-casco-integral-negro-y-gris-acerbis-hecho-en-italia-_JM?searchVariation=41620541192,NA,NA,NA,NA,NA,#465484202,Gris oscuro,NA,Acerbis,NA,Integral,Integral,NA,Simple,NA,NA,Unisex
