search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Formato,Marca,Modelo,Color
1, Auriculares Inalámbricos P15 Bluetooth Radio Fm Mic Sd Loi ,497,NA,97,976,18 cuotas,27.61,NA,Envío a todo el país,NA,NA,4.3,4,http://perfil.mercadolibre.com.uy/LOI+URUGUAY?brandId=638,https://articulo.mercadolibre.com.uy/MLU-462662158-auriculares-inalambricos-p15-bluetooth-radio-fm-mic-sd-loi-_JM,2,1,1,0,0,#462662158,Con Vincha,NA,NA,NA
2, Auriculares Bluetooth Manos Libres Jbl E25bt iPhone Febo ,2388,NA,187,99812,18 cuotas,132.67,NA,Envío a todo el país,NA,NA,4.8,22,http://perfil.mercadolibre.com.uy/FEBOUY,https://articulo.mercadolibre.com.uy/MLU-449243520-auriculares-bluetooth-manos-libres-jbl-e25bt-iphone-febo-_JM,17,5,0,0,0,#449243520,Sin Vincha,JBL,E25BT,NA
3, Auriculares Bluetooth P47 Inalámbricos Microsd Manos Libre. ,425,NA,269,532,18 cuotas,23.61,NA,Envío a todo el país,NA,NA,4.6,17,http://perfil.mercadolibre.com.uy/TMO+TUMEJOROPCION,https://articulo.mercadolibre.com.uy/MLU-456663027-auriculares-bluetooth-p47-inalambricos-microsd-manos-libre-_JM,12,3,2,0,0,#456663027,Con Vincha,NA,NA,NA
4, Auriculares Inalambricos Tipo iPhone Modelo I7s ,625,NA,45,175,18 cuotas,34.72,NA,Envío a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/MEGAOFERTAS.UY,https://articulo.mercadolibre.com.uy/MLU-463905420-auriculares-inalambricos-tipo-iphone-modelo-i7s-_JM,NA,NA,NA,NA,NA,#463905420,NA,Apple,NA,NA
5, Auriculares Bluetooth Simil AirPods iPhone + Caja I9s-tws ® ,1190,NA,24,5000,18 cuotas,66.11,NA,Envío a todo el país,NA,NA,5,1,http://perfil.mercadolibre.com.uy/TOPTECNOUY,https://articulo.mercadolibre.com.uy/MLU-462391301-auriculares-bluetooth-simil-airpods-iphone-caja-i9s-tws--_JM,1,0,0,0,0,#462391301,NA,NA,NA,NA
6, Auriculares Bluetooth I7 Tws Mini Caja Carga Inalámbrica Loi ,487,640,348,734,18 cuotas,27.06,NA,Envío a todo el país,NA,NA,3.6,22,http://perfil.mercadolibre.com.uy/LOI+URUGUAY?brandId=638,https://articulo.mercadolibre.com.uy/MLU-456795897-auriculares-bluetooth-i7-tws-mini-caja-carga-inalambrica-loi-_JM,8,6,3,1,4,#456795897,NA,NA,NA,NA
7, Auriculares Bluetooth Caja De Carga Inalámbrica Oferta ,635,NA,216,2831,18 cuotas,35.28,NA,Envío a todo el país,NA,NA,3.6,13,http://perfil.mercadolibre.com.uy/ELECTROVENTAS+ONLINE,https://articulo.mercadolibre.com.uy/MLU-459144646-auriculares-bluetooth-caja-de-carga-inalambrica-oferta-_JM,4,4,3,0,2,#459144646,Earbud,Apple,ZGB-052,NA
8, Auricular Manos Libres Bluetooth Wireless Headset ,290,NA,128,14,18 cuotas,16.11,NA,Entrega a acordar con el vendedor,NA,NA,3.8,9,http://perfil.mercadolibre.com.uy/ILUMINAR%C3%81S,https://articulo.mercadolibre.com.uy/MLU-459217731-auricular-manos-libres-bluetooth-wireless-headset-_JM,4,2,1,1,1,#459217731,NA,NA,NA,NA
9, Auriculares Bluetooth Inalambrico Android iPhone Jogger ® ,330,NA,444,3991,18 cuotas,18.33,NA,Envío a todo el país,NA,NA,3.9,29,http://perfil.mercadolibre.com.uy/TOPTECNOUY,https://articulo.mercadolibre.com.uy/MLU-449191430-auriculares-bluetooth-inalambrico-android-iphone-jogger--_JM,12,9,4,2,2,#449191430,Sin Vincha,Jogger,NA,NA
10, Auriculares Inalámbricos Tws16 Bluetooth Iph/android Ebuy ,50,NA,20,NA,18 cuotas,102.50,NA,Envío a todo el país,NA,NA,5,1,http://perfil.mercadolibre.com.uy/EASYBUYSHOP,https://articulo.mercadolibre.com.uy/MLU-456715106-auriculares-inalambricos-tws16-bluetooth-iphandroid-ebuy-_JM,1,0,0,0,0,#456715106,NA,NA,NA,Gris azulado
