seller_name,link,time_operating,units_of_time_operating,amt_sold,leader_status,top_descriptor1,top_descriptor2,num_reviews,num_neg_reviews,num_neutral_reviews,num_pos_reviews,location,timeframe_of_amt_sold
RUBIBIKES,http://perfil.mercadolibre.com.uy/RUBIBIKES,12,12 años vendiendo en Mercado Libre,2248,MercadoLíder Gold¡Está entre los mejores del sitio!,NA,NA,1625,Negativa (2),Neutral (9),Positiva (1614),"Buceo, Montevideo.",NA
MOTO_TORRE,http://perfil.mercadolibre.com.uy/MOTO_TORRE,10,10 años vendiendo en Mercado Libre,3251,MercadoLíder Gold¡Está entre los mejores del sitio!,NA,NA,3408,Negativa (0),Neutral (246),Positiva (3162),"Aguada, Montevideo.",NA
CAFERACEUY,http://perfil.mercadolibre.com.uy/CAFERACEUY,6,6 años vendiendo en Mercado Libre,655,MercadoLíder¡Está entre los mejores del sitio!,NA,NA,476,Negativa (2),Neutral (31),Positiva (443),"Malvin, Montevideo.",NA
GKMOTOS,http://perfil.mercadolibre.com.uy/GKMOTOS,10,10 años vendiendo en Mercado Libre,292,MercadoLíder¡Está entre los mejores del sitio!,NA,NA,226,Negativa (2),Neutral (8),Positiva (216),"Cerro, Montevideo.",NA
URURACER,http://perfil.mercadolibre.com.uy/URURACER,9,9 años vendiendo en Mercado Libre,908,MercadoLíder¡Está entre los mejores del sitio!,NA,NA,1179,Negativa (9),Neutral (205),Positiva (965),"Cordón, Montevideo.",NA
MOTOSHOPSRLMOTOSHOPSRL,http://perfil.mercadolibre.com.uy/MOTOSHOPSRLMOTOSHOPSRL,2,2 años vendiendo en Mercado Libre,7254,MercadoLíder Gold¡Está entre los mejores del sitio!,NA,NA,4573,Negativa (2),Neutral (58),Positiva (4513),"Centro, Montevideo.",NA
NANY MOTOS,http://perfil.mercadolibre.com.uy/NANY+MOTOS,6,6 años vendiendo en Mercado Libre,144,NA,NA,NA,72,Negativa (1),Neutral (2),Positiva (69),"La Teja, Montevideo.",NA
INTERNACIONALRACEIMPORT,http://perfil.mercadolibre.com.uy/INTERNACIONALRACEIMPORT,2,2 años vendiendo en Mercado Libre,264,NA,NA,NA,189,Negativa (2),Neutral (3),Positiva (184),"Rivera, Rivera.",NA
JUGUECTILCOM,http://perfil.mercadolibre.com.uy/JUGUECTILCOM,4,4 años vendiendo en Mercado Libre,2486,MercadoLíder Gold¡Está entre los mejores del sitio!,NA,NA,1501,Negativa (0),Neutral (12),Positiva (1489),"Tres Cruces, Montevideo.",NA
ALLROADURUGUAY,http://perfil.mercadolibre.com.uy/ALLROADURUGUAY,5,5 años vendiendo en Mercado Libre,702,MercadoLíder¡Está entre los mejores del sitio!,NA,NA,462,Negativa (2),Neutral (13),Positiva (447),"San José de Carrasco, Canelones.",NA
FISHCOMPANY URUGUAY,http://perfil.mercadolibre.com.uy/FISHCOMPANY+URUGUAY,3,3 años vendiendo en Mercado Libre,1757,MercadoLíder¡Está entre los mejores del sitio!,NA,NA,1059,Negativa (7),Neutral (19),Positiva (1033),"Brazo Oriental, Montevideo.",NA
SEJO2377096,http://perfil.mercadolibre.com.uy/SEJO2377096,4,4 meses vendiendo en Mercado Libre,8,NA,NA,NA,7,Negativa (0),Neutral (0),Positiva (7),"Centro, Montevideo.",NA
Ebay Tienda oficial,http://perfil.mercadolibre.com.uy/HERMES_STORE?brandId=520,1,1 año vendiendo en Mercado Libre,5097,MercadoLíder Platinum¡Es uno de los mejores del sitio!,NA,NA,2375,Negativa (30),Neutral (312),Positiva (2033),"Ciudad Vieja, Montevideo.",NA
POCHOMOTOSPB,http://perfil.mercadolibre.com.uy/POCHOMOTOSPB,10,10 años vendiendo en Mercado Libre,2618,MercadoLíder¡Está entre los mejores del sitio!,NA,NA,1138,Negativa (17),Neutral (44),Positiva (1077),"Piedras Blancas, Montevideo.",NA
WINSTONG2010,http://perfil.mercadolibre.com.uy/WINSTONG2010,9,9 años vendiendo en Mercado Libre,334,NA,NA,NA,206,Negativa (1),Neutral (1),Positiva (204),"Melo, Cerro Largo.",NA
NAHUELARAUJO10,http://perfil.mercadolibre.com.uy/NAHUELARAUJO10,5,5 años vendiendo en Mercado Libre,850,NA,NA,NA,577,Negativa (15),Neutral (27),Positiva (535),"Chuy, Rocha.",NA
VIRTUAL SHOP.,http://perfil.mercadolibre.com.uy/VIRTUAL+SHOP.,4,4 años vendiendo en Mercado Libre,182,NA,NA,NA,88,Negativa (0),Neutral (5),Positiva (83),"Delta El Tigre, San José.",NA
VAIMACAMOTOS,http://perfil.mercadolibre.com.uy/VAIMACAMOTOS,6,6 años vendiendo en Mercado Libre,1812,MercadoLíder Gold¡Está entre los mejores del sitio!,NA,NA,955,Negativa (12),Neutral (25),Positiva (918),"Otras, Montevideo.",NA
AMERICANDREAM URUGUAY,http://perfil.mercadolibre.com.uy/AMERICANDREAM+URUGUAY,7,7 años vendiendo en Mercado Libre,272,MercadoLíder¡Está entre los mejores del sitio!,NA,NA,150,Negativa (2),Neutral (0),Positiva (148),"Carrasco, Montevideo.",NA
ROUMAX DIRECTO,http://perfil.mercadolibre.com.uy/ROUMAX+DIRECTO,NA,NA,NA,NA,NA,NA,170,Negativa (8),Neutral (7),Positiva (155),"Aguada, Montevideo.",NA
TRILPARK SA,http://perfil.mercadolibre.com.uy/TRILPARK+SA,2,2 años vendiendo en Mercado Libre,217,NA,NA,NA,168,Negativa (1),Neutral (4),Positiva (163),"Tres Cruces, Montevideo.",NA
TYT DEMARTINI,http://perfil.mercadolibre.com.uy/TYT+DEMARTINI,3,3 años vendiendo en Mercado Libre,17229,MercadoLíder Platinum¡Es uno de los mejores del sitio!,NA,NA,10681,Negativa (16),Neutral (186),Positiva (10479),"Manga, Montevideo.",NA
JUGUECTIL COM,http://perfil.mercadolibre.com.uy/JUGUECTIL+COM,4,4 años vendiendo en Mercado Libre,258,MercadoLíder¡Está entre los mejores del sitio!,NA,NA,112,Negativa (0),Neutral (0),Positiva (112),"Maldonado, Maldonado.",NA
