search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Modelo,Tipo de casco,Línea
1, Casco Moto Hgv Certificado Integral+ Bolso ,159,NA,"
			
				Nuevo
			
			
				
					 - 
				
				8
				vendidos
			
		",(292 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/FUNDASYCOBERTORESPERU,https://articulo.mercadolibre.com.pe/MPE-435205463-casco-moto-hgv-certificado-integral-bolso-_JM?searchVariation=41593917674,NA,NA,NA,NA,NA,#435205463,HGV,AGRESOR,Integral,NA
2, Casco De Moto Económico Modelo Color Entero Negro ,60,NA,"
			
				Nuevo
			
			
				
					 - 
				
				15
				vendidos
			
		",(2 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/ESE+QUIERO,https://articulo.mercadolibre.com.pe/MPE-436152797-casco-de-moto-economico-modelo-color-entero-negro-_JM,NA,NA,NA,NA,NA,#436152797,NA,NA,NA,NA
3, Casco De Moto Cross Negro Mate ,140,NA,"
			
				Nuevo
			
			
				
					 - 
				
				15
				vendidos
			
		","
		
			¡Último disponible!
		
	",NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/ESE+QUIERO,https://articulo.mercadolibre.com.pe/MPE-431865227-casco-de-moto-cross-negro-mate-_JM,NA,NA,NA,NA,NA,#431865227,NA,NA,NA,NA
4, Casco Para Motos Articulados ,140,NA,"
			
				Nuevo
			
			
				
					 - 
				
				5
				vendidos
			
		",(2 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/ESE+QUIERO,https://articulo.mercadolibre.com.pe/MPE-435034835-casco-para-motos-articulados-_JM,NA,NA,NA,NA,NA,#435034835,NA,NA,NA,NA
5, Casco De Moto Negro Mate Con Visor Para Moto ,55,NA,"
			
				Nuevo
			
			
				
					 - 
				
				17
				vendidos
			
		","
		
			¡Último disponible!
		
	",NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/ESE+QUIERO,https://articulo.mercadolibre.com.pe/MPE-430195534-casco-de-moto-negro-mate-con-visor-para-moto-_JM,NA,NA,NA,NA,NA,#430195534,NA,NA,NA,NA
6, Casco Moto Negro Hgv Certificado +bolso ,159,NA,"
			
				Nuevo
			
			
				
					 - 
				
				39
				vendidos
			
		",(298 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,1.0,1,http://perfil.mercadolibre.com.pe/FUNDASYCOBERTORESPERU,https://articulo.mercadolibre.com.pe/MPE-432617110-casco-moto-negro-hgv-certificado-bolso-_JM?searchVariation=41593808419,NA,NA,NA,NA,NA,#432617110,NA,NA,NA,NA
7, Casco De Moto Articulado Abatible Negro Mate Nuevos De Stok ,135,NA,"
			
				Nuevo
			
			
				
					 - 
				
				28
				vendidos
			
		",(3 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,5.0,2,http://perfil.mercadolibre.com.pe/ESE+QUIERO,https://articulo.mercadolibre.com.pe/MPE-426041940-casco-de-moto-articulado-abatible-negro-mate-nuevos-de-stok-_JM?searchVariation=40455808756,NA,NA,NA,NA,NA,#426041940,FG+7,FG+7,Rebatible,NA
8, Cascos Ym-329 Para Moto Y Bicicleta Certificado ,59,NA,"
			
				Nuevo
			
			
				
					 - 
				
				4
				vendidos
			
		",(6 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/TECH-COOL,https://articulo.mercadolibre.com.pe/MPE-435404383-cascos-ym-329-para-moto-y-bicicleta-certificado-_JM,NA,NA,NA,NA,NA,#435404383,NA,NA,NA,NA
9, Casco Abatible/ Articulado Doble Visor Hgv ,109,NA,"
			
				Nuevo
			
			
				
					 - 
				
				6
				vendidos
			
		",(4 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/IMPORTGMR,https://articulo.mercadolibre.com.pe/MPE-436974090-casco-abatible-articulado-doble-visor-hgv-_JM?searchVariation=39628576272,NA,NA,NA,NA,NA,#436974090,hgv,ABATIBLE,ABATIBLE,NA
10, Intercomunicador Bluetooth Bts3 Casco De Motocicleta ,220,NA,"
			
				Nuevo
			
			
				
					 - 
				
				22
				vendidos
			
		",(10 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/MERCOMAX,https://articulo.mercadolibre.com.pe/MPE-431325039-intercomunicador-bluetooth-bts3-casco-de-motocicleta-_JM,NA,NA,NA,NA,NA,#431325039,KONTROL,BTS3,NA,NA
11, Casco De Moto Tipo Policia Choper Con Visor ,55,NA,"
			
				Nuevo
			
			
				
					 - 
				
				39
				vendidos
			
		",(3 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,5.0,1,http://perfil.mercadolibre.com.pe/ESE+QUIERO,https://articulo.mercadolibre.com.pe/MPE-422140438-casco-de-moto-tipo-policia-choper-con-visor-_JM,NA,NA,NA,NA,NA,#422140438,NA,NA,NA,NA
12, Lentes Gafas De Motocicleta Bjmoto Promo Envío Gratis! ,119,NA,"
			
				Nuevo
			
			
				
					 - 
				
				7
				vendidos
			
		","
		
			¡Último disponible!
		
	",NA,NA,NA,Envío gratis a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/PKIMPORTS+TIENDAVIRTUAL,https://articulo.mercadolibre.com.pe/MPE-429018866-lentes-gafas-de-motocicleta-bjmoto-promo-envio-gratis-_JM,NA,NA,NA,NA,NA,#429018866,Bjmoto,Casual,Clásico,NA
13, Casco D Moto Aleman Vintage Motocicleta Proteccion Seguridad ,49,NA,"
			
				Nuevo
			
			
				
					 - 
				
				50
				vendidos
			
		",(9984 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/ZOYUO,https://articulo.mercadolibre.com.pe/MPE-430189064-casco-d-moto-aleman-vintage-motocicleta-proteccion-seguridad-_JM,NA,NA,NA,NA,NA,#430189064,NA,NA,NA,NA
14, Casco De Moto Articulado Para Mujer Mothza ,140,NA,"
			
				Nuevo
			
			
				
					 - 
				
				2
				vendidos
			
		",(2 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/ESE+QUIERO,https://articulo.mercadolibre.com.pe/MPE-436509833-casco-de-moto-articulado-para-mujer-mothza-_JM,NA,NA,NA,NA,NA,#436509833,NA,NA,NA,NA
15," Cascos Ym-629 Moto O Bicicleta, Certificado ",150,NA,"
			
				Nuevo
			
			
				
					 - 
				
				6
				vendidos
			
		",(14 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,4.0,1,http://perfil.mercadolibre.com.pe/TECH-COOL,https://articulo.mercadolibre.com.pe/MPE-435405644-cascos-ym-629-moto-o-bicicleta-certificado-_JM,NA,NA,NA,NA,NA,#435405644,NA,NA,NA,NA
16, Casco De Moto De Niño Negro Mate Abispon ,60,NA,"
			
				Nuevo
			
			
				
					 - 
				
				2
				vendidos
			
		","
		
			¡Último disponible!
		
	",NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/ESE+QUIERO,https://articulo.mercadolibre.com.pe/MPE-436607290-casco-de-moto-de-nino-negro-mate-abispon-_JM,NA,NA,NA,NA,NA,#436607290,NA,NA,NA,NA
17, Casco De Moto Mujer Certificado Talla M ,220,NA,"
			
				Nuevo
			
			
				
					 - 
				
				2
				vendidos
			
		",(2 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/ESE+QUIERO,https://articulo.mercadolibre.com.pe/MPE-436425151-casco-de-moto-mujer-certificado-talla-m-_JM,NA,NA,NA,NA,NA,#436425151,NA,NA,NA,NA
18, Casco De Moto Negro Mate Milano ,85,NA,"
			
				Nuevo
			
			
				
					 - 
				
				4
				vendidos
			
		",(4 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/ESE+QUIERO,https://articulo.mercadolibre.com.pe/MPE-432233726-casco-de-moto-negro-mate-milano-_JM,NA,NA,NA,NA,NA,#432233726,NA,NA,NA,NA
19, Casco De Moto Turquesa Para Niña De 5 A 12 Años. (visa) ,50,NA,"
			
				Nuevo
			
			
				
					 - 
				
				2
				vendidos
			
		",(3 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/ESE+QUIERO,https://articulo.mercadolibre.com.pe/MPE-432869306-casco-de-moto-turquesa-para-nina-de-5-a-12-anos-visa-_JM,NA,NA,NA,NA,NA,#432869306,NA,NA,NA,NA
20, Casco De Moto Chopers Premium Correa De Cuero ,120,NA,"
			
				Nuevo
			
			
				
					 - 
				
				2
				vendidos
			
		","
		
			¡Último disponible!
		
	",NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/ESE+QUIERO,https://articulo.mercadolibre.com.pe/MPE-428800058-casco-de-moto-chopers-premium-correa-de-cuero-_JM,NA,NA,NA,NA,NA,#428800058,NA,NA,NA,NA
