search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca del celular,Marca,Modelo,Material
1, Protector Full 360 + Vidrio iPhone 8 7 6s 6 Y Plus 5 5s Se ® ,117,NA,"
			
				Nuevo
			
			
				
					 - 
				
				1857
				vendidos
			
		",(3922 disponibles),"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 650
		
		 sin interés
		
	

	
		",50,NA,Envío a todo el país,NA,NA,4.6,68,http://perfil.mercadolibre.com.uy/TOPTECNOUY,https://articulo.mercadolibre.com.uy/MLU-442559969-protector-full-360-vidrio-iphone-8-7-6s-6-y-plus-5-5s-se--_JM,51,12,3,0,2,#442559969,Apple,NA,NA,NA
2, Carcasa Case iPhone Original Silicona 6 7 8 6/7/8pls 10 X Xs ,449,NA,"
			
				Nuevo
			
			
				
					 - 
				
				32
				vendidos
			
		",(147 disponibles),"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 2494
		
		 sin interés
		
	

	
		",94,NA,Envío a todo el país,NA,NA,5.0,4,http://perfil.mercadolibre.com.uy/MUNDOSHOP.UY,https://articulo.mercadolibre.com.uy/MLU-464439097-carcasa-case-iphone-original-silicona-6-7-8-678pls-10-x-xs-_JM?searchVariation=39510407317,4,0,0,0,0,#464439097,Apple,Apple,Todos,Silicona
3, Protector Tpu Borde Alto Impacto iPhone 8 7 6 6s Plus 5s 5 ® ,150,NA,"
			
				Nuevo
			
			
				
					 - 
				
				246
				vendidos
			
		",(3798 disponibles),"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 833
		
		 sin interés
		
	

	
		",33,NA,Envío a todo el país,NA,NA,4.6,8,http://perfil.mercadolibre.com.uy/TOPTECNOUY,https://articulo.mercadolibre.com.uy/MLU-446712450-protector-tpu-borde-alto-impacto-iphone-8-7-6-6s-plus-5s-5--_JM?searchVariation=39312263452,6,1,1,0,0,#446712450,Apple,NA,NA,TPU
4, Protector Fino Cristal Bumper iPhone 8 7 6 6s 5 5s Se Plus ® ,190,NA,"
			
				Nuevo
			
			
				
					 - 
				
				636
				vendidos
			
		",(3928 disponibles),"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 1056
		
		 sin interés
		
	

	
		",56,NA,Envío a todo el país,NA,NA,4.4,35,http://perfil.mercadolibre.com.uy/TOPTECNOUY,https://articulo.mercadolibre.com.uy/MLU-443333988-protector-fino-cristal-bumper-iphone-8-7-6-6s-5-5s-se-plus--_JM,20,10,4,1,0,#443333988,Apple,Apple,5/SE/6s/7/8/ Plus,TPU
5, Funda Estuche C/ Bateria Powerbank iPhone 8 7 6s 6 ® ,690,NA,"
			
				Nuevo
			
			
				
					 - 
				
				484
				vendidos
			
		",(4987 disponibles),"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 3833
		
		 sin interés
		
	

	
		",33,NA,Envío a todo el país,NA,NA,4.6,21,http://perfil.mercadolibre.com.uy/TOPTECNOUY,https://articulo.mercadolibre.com.uy/MLU-444690734-funda-estuche-c-bateria-powerbank-iphone-8-7-6s-6--_JM?searchVariation=40468487402,15,4,1,1,0,#444690734,NA,Power Bank,iPhone 8 / 7 / 6s / 6,NA
6, Protector 360 Magnetico iPhone 6 7 7plus 8 8plus Xs Xr Xsmax ,490,NA,"
			
				Nuevo
			
			
				
					 - 
				
				448
				vendidos
			
		",(34 disponibles),"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 2722
		
		 sin interés
		
	

	
		",22,NA,Envío a todo el país,NA,NA,1.0,2,http://perfil.mercadolibre.com.uy/TUBELUXUY,https://articulo.mercadolibre.com.uy/MLU-443922805-protector-360-magnetico-iphone-6-7-7plus-8-8plus-xs-xr-xsmax-_JM,NA,NA,NA,NA,NA,#443922805,Apple,NA,NA,TPU
7, Protector Fino Simil Cuero iPhone 8 7 6s 6 Se 5s 5 Y Plus ® ,350,NA,"
			
				Nuevo
			
			
				
					 - 
				
				806
				vendidos
			
		",(3985 disponibles),"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 1944
		
		 sin interés
		
	

	
		",44,NA,Envío a todo el país,NA,NA,4.1,26,http://perfil.mercadolibre.com.uy/TOPTECNOUY,https://articulo.mercadolibre.com.uy/MLU-443202210-protector-fino-simil-cuero-iphone-8-7-6s-6-se-5s-5-y-plus--_JM,13,7,2,3,1,#443202210,Apple,NA,NA,Cuero
8, Protector 360 Magnetico iPhone 6s Plus 8 8 Plus X Xr Xs Max ,540,NA,"
			
				Nuevo
			
			
				
					 - 
				
				46
				vendidos
			
		",(39 disponibles),"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 3000
		
		 sin interés
		
	

	
		",00,NA,Envío a todo el país,NA,NA,3.0,1,http://perfil.mercadolibre.com.uy/TUBELUXUY,https://articulo.mercadolibre.com.uy/MLU-460107403-protector-360-magnetico-iphone-6s-plus-8-8-plus-x-xr-xs-max-_JM,NA,NA,NA,NA,NA,#460107403,Apple,NA,NA,NA
9, Estuche Espejados Aluminio iPhone 8 7 6 6 Plus 5 Se ,90,NA,"
			
				Nuevo
			
			
				
					 - 
				
				158
				vendidos
			
		",(79 disponibles),"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 500
		
		 sin interés
		
	

	
		",00,NA,Envío a todo el país,NA,NA,4.6,5,http://perfil.mercadolibre.com.uy/PRO+ACCESORIOSUY,https://articulo.mercadolibre.com.uy/MLU-445173371-estuche-espejados-aluminio-iphone-8-7-6-6-plus-5-se-_JM,4,0,1,0,0,#445173371,Apple,Iphone,Espejados,Aluminio
10, Estuche Funda iPhone 7 Y iPhone 8 ® Blister En Silicona ,450,NA,"
			
				Nuevo
			
			
				
					 - 
				
				26
				vendidos
			
		",(62 disponibles),"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 2500
		
		 sin interés
		
	

	
		",00,NA,Entrega a acordar con el vendedor,NA,NA,4.0,2,http://perfil.mercadolibre.com.uy/VENTAUY,https://articulo.mercadolibre.com.uy/MLU-455406832-estuche-funda-iphone-7-y-iphone-8-blister-en-silicona-_JM,NA,NA,NA,NA,NA,#455406832,Apple,NA,NA,Silicona
11, Funda Transparente iPhone 8 & 8 Plus Shockproof Hybrid Case ,440,NA,"
			
				Nuevo
			
			
				
					 - 
				
				63
				vendidos
			
		",(7 disponibles),"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 2444
		
		 sin interés
		
	

	
		",44,NA,Envío a todo el país,NA,NA,5.0,4,http://perfil.mercadolibre.com.uy/FREE_BUY_2633,https://articulo.mercadolibre.com.uy/MLU-455994544-funda-transparente-iphone-8-8-plus-shockproof-hybrid-case-_JM,4,0,0,0,0,#455994544,Apple,NA,NA,NA
12, Funda Transparente iPhone 8 & 8 Plus Ultra Slim Hybrid Case ,499,NA,"
			
				Nuevo
			
			
				
					 - 
				
				242
				vendidos
			
		",(20 disponibles),"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 2772
		
		 sin interés
		
	

	
		",72,NA,Envío gratis a todo el país,NA,NA,4.6,22,http://perfil.mercadolibre.com.uy/FREE_BUY_2633,https://articulo.mercadolibre.com.uy/MLU-448803228-funda-transparente-iphone-8-8-plus-ultra-slim-hybrid-case-_JM,14,7,1,0,0,#448803228,Apple,NA,NA,NA
13, Funda Eco Cuero Apple iPhone 8 8 Plus Caja Simi Original ,490,NA,"
			
				Nuevo
			
			
				
					 - 
				
				6
				vendidos
			
		",(12 disponibles),"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 2722
		
		 sin interés
		
	

	
		",22,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/FREE_BUY_2633,https://articulo.mercadolibre.com.uy/MLU-453894906-funda-eco-cuero-apple-iphone-8-8-plus-caja-simi-original-_JM,NA,NA,NA,NA,NA,#453894906,Apple,Apple,NA,NA
